#Data tag : 23v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
370579:9063,47:47,07/12/23 17:45:05,STABLE BEAMS,6800,12504.367120305,12329.469630825,36.3,PLTZERO
370579:9063,48:48,07/12/23 17:45:29,STABLE BEAMS,6800,12506.634774216,12311.181053648,36.3,PLTZERO
370579:9063,49:49,07/12/23 17:45:52,STABLE BEAMS,6800,12454.022664333,12293.038868395,36.1,PLTZERO
370579:9063,50:50,07/12/23 17:46:15,STABLE BEAMS,6800,12376.992746209,12206.131829587,35.9,PLTZERO
370579:9063,51:51,07/12/23 17:46:39,STABLE BEAMS,6800,12437.242806668,12261.880876763,36.1,PLTZERO
370579:9063,52:52,07/12/23 17:47:02,STABLE BEAMS,6800,12474.332913423,12167.760978374,36.2,PLTZERO
370579:9063,53:53,07/12/23 17:47:25,STABLE BEAMS,6800,12449.666073421,12146.537197094,36.1,PLTZERO
370579:9063,54:54,07/12/23 17:47:49,STABLE BEAMS,6800,12374.463364801,12075.644034791,35.9,PLTZERO
370579:9063,55:55,07/12/23 17:48:12,STABLE BEAMS,6800,12334.814578783,12038.506446380,35.8,PLTZERO
370579:9063,56:56,07/12/23 17:48:35,STABLE BEAMS,6800,12319.237886328,12024.625695497,35.7,PLTZERO
370579:9063,57:57,07/12/23 17:48:59,STABLE BEAMS,6800,12329.160092933,12021.240445514,35.8,PLTZERO
370579:9063,58:58,07/12/23 17:49:22,STABLE BEAMS,6800,12290.411727632,12014.557617062,35.7,PLTZERO
370579:9063,59:59,07/12/23 17:49:45,STABLE BEAMS,6800,12289.455640992,11983.213396956,35.7,PLTZERO
370579:9063,60:60,07/12/23 17:50:08,STABLE BEAMS,6800,12312.929081735,12005.856523074,35.7,PLTZERO
370579:9063,61:61,07/12/23 17:50:32,STABLE BEAMS,6800,12331.055664096,12053.882727917,35.8,PLTZERO
