#Data tag : 23v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
370406:9050,52:52,07/10/23 12:35:18,STABLE BEAMS,6800,1521.774124975,1516.167984397,4.6,PLTZERO
370406:9050,53:53,07/10/23 12:35:42,STABLE BEAMS,6800,4357.695440823,4327.933061388,13.2,PLTZERO
370406:9050,54:54,07/10/23 12:36:05,STABLE BEAMS,6800,11834.472661819,11674.516601131,35.9,PLTZERO
370406:9050,55:55,07/10/23 12:36:28,STABLE BEAMS,6800,11866.207120837,11701.845876877,36.0,PLTZERO
370406:9050,56:56,07/10/23 12:36:52,STABLE BEAMS,6800,11847.121522050,11670.672289544,35.9,PLTZERO
370406:9050,57:57,07/10/23 12:37:15,STABLE BEAMS,6800,11772.185423902,11627.137060259,35.7,PLTZERO
370406:9050,58:58,07/10/23 12:37:38,STABLE BEAMS,6800,11776.854525258,11600.647716132,35.7,PLTZERO
370406:9050,59:59,07/10/23 12:38:02,STABLE BEAMS,6800,11829.284988445,11681.172795767,35.9,PLTZERO
370406:9050,60:60,07/10/23 12:38:25,STABLE BEAMS,6800,11816.772851534,11644.593913154,35.8,PLTZERO
370406:9050,61:61,07/10/23 12:38:48,STABLE BEAMS,6800,11727.355800676,11566.798203191,35.6,PLTZERO
370406:9050,62:62,07/10/23 12:39:11,STABLE BEAMS,6800,11690.669027712,11518.097477459,35.5,PLTZERO
370406:9050,63:63,07/10/23 12:39:35,STABLE BEAMS,6800,11661.766694596,11502.805324416,35.4,PLTZERO
370406:9050,64:64,07/10/23 12:39:58,STABLE BEAMS,6800,11613.739698887,11471.920131228,35.2,PLTZERO
370406:9050,65:65,07/10/23 12:40:21,STABLE BEAMS,6800,11642.267019471,11472.230943500,35.3,PLTZERO
370406:9050,66:66,07/10/23 12:40:45,STABLE BEAMS,6800,11620.368826686,11477.865862722,35.3,PLTZERO
370406:9050,67:67,07/10/23 12:41:08,STABLE BEAMS,6800,11641.244524361,11480.902509508,35.3,PLTZERO
370406:9050,68:68,07/10/23 12:41:31,STABLE BEAMS,6800,11645.235868691,11473.881395524,35.3,PLTZERO
370406:9050,69:69,07/10/23 12:41:55,STABLE BEAMS,6800,11640.889043730,11500.073164407,35.3,PLTZERO
370406:9050,70:70,07/10/23 12:42:18,STABLE BEAMS,6800,11629.270491371,11471.520789275,35.3,PLTZERO
370406:9050,71:71,07/10/23 12:42:41,STABLE BEAMS,6800,11619.200818900,11462.246582608,35.2,PLTZERO
370406:9050,72:72,07/10/23 12:43:05,STABLE BEAMS,6800,11610.239581912,11455.757558660,35.2,PLTZERO
370406:9050,73:73,07/10/23 12:43:28,STABLE BEAMS,6800,11600.982436596,11408.014412021,35.2,PLTZERO
370406:9050,74:74,07/10/23 12:43:51,STABLE BEAMS,6800,11589.108992905,8627.332624649,35.2,PLTZERO
370406:9050,75:75,07/10/23 12:44:15,STABLE BEAMS,6800,11581.711284733,11422.597951030,35.1,PLTZERO
370406:9050,76:76,07/10/23 12:44:38,STABLE BEAMS,6800,11574.509872184,11418.110357435,35.1,PLTZERO
370406:9050,77:77,07/10/23 12:45:01,STABLE BEAMS,6800,11835.130886942,11656.275010022,35.9,PLTZERO
370406:9050,78:78,07/10/23 12:45:25,STABLE BEAMS,6800,12108.686904307,11939.741981697,36.7,PLTZERO
370406:9050,79:79,07/10/23 12:45:48,STABLE BEAMS,6800,12102.195476423,11947.112293781,36.7,PLTZERO
370406:9050,80:80,07/10/23 12:46:11,STABLE BEAMS,6800,12082.370595117,11909.610363101,36.7,PLTZERO
370406:9050,81:81,07/10/23 12:46:34,STABLE BEAMS,6800,12072.578275666,11900.931023958,36.6,PLTZERO
370406:9050,82:82,07/10/23 12:46:58,STABLE BEAMS,6800,12077.287417422,11905.430431184,36.6,PLTZERO
370406:9050,83:83,07/10/23 12:47:21,STABLE BEAMS,6800,12083.237811600,11897.296505177,36.7,PLTZERO
370406:9050,84:84,07/10/23 12:47:44,STABLE BEAMS,6800,12475.671825358,12309.640881313,37.8,PLTZERO
370406:9050,85:85,07/10/23 12:48:08,STABLE BEAMS,6800,12701.347336285,12514.016408390,38.5,PLTZERO
370406:9050,86:86,07/10/23 12:48:31,STABLE BEAMS,6800,12704.332787622,12485.965207607,38.5,PLTZERO
370406:9050,87:87,07/10/23 12:48:54,STABLE BEAMS,6800,12693.256245564,12520.311981032,38.5,PLTZERO
370406:9050,88:88,07/10/23 12:49:18,STABLE BEAMS,6800,12683.340875126,12491.592590941,38.5,PLTZERO
370406:9050,89:89,07/10/23 12:49:41,STABLE BEAMS,6800,12675.833788298,12486.057610239,38.5,PLTZERO
370406:9050,90:90,07/10/23 12:50:04,STABLE BEAMS,6800,13015.058015949,12801.794918064,39.5,PLTZERO
370406:9050,91:91,07/10/23 12:50:27,STABLE BEAMS,6800,13383.816433770,13186.559801557,40.6,PLTZERO
