#Data tag : 23v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
370522:9059,59:59,07/12/23 00:00:10,STABLE BEAMS,6800,5998.867477028,5693.800973797,17.4,PLTZERO
370522:9059,60:60,07/12/23 00:00:33,STABLE BEAMS,6800,1609.559407431,1603.186261398,4.7,PLTZERO
370522:9059,61:61,07/12/23 00:00:56,STABLE BEAMS,6800,5276.732503110,5236.325054214,15.3,PLTZERO
370522:9059,62:62,07/12/23 00:01:20,STABLE BEAMS,6800,12204.466472491,12022.946432263,35.4,PLTZERO
370522:9059,63:63,07/12/23 00:01:43,STABLE BEAMS,6800,12225.224978749,12060.037482955,35.5,PLTZERO
370522:9059,64:64,07/12/23 00:02:06,STABLE BEAMS,6800,12197.682066065,9209.071050244,35.4,PLTZERO
370522:9059,65:65,07/12/23 00:02:30,STABLE BEAMS,6800,12105.980759179,11926.778014285,35.1,PLTZERO
370522:9059,66:66,07/12/23 00:02:53,STABLE BEAMS,6800,12100.003020338,11950.550972770,35.1,PLTZERO
370522:9059,67:67,07/12/23 00:03:16,STABLE BEAMS,6800,12168.413509772,11987.145412916,35.3,PLTZERO
370522:9059,68:68,07/12/23 00:03:40,STABLE BEAMS,6800,12170.925312468,12020.305397158,35.3,PLTZERO
370522:9059,69:69,07/12/23 00:04:03,STABLE BEAMS,6800,12107.975943047,11927.762501500,35.1,PLTZERO
370522:9059,70:70,07/12/23 00:04:26,STABLE BEAMS,6800,12080.214273052,11932.933890546,35.0,PLTZERO
370522:9059,71:71,07/12/23 00:04:50,STABLE BEAMS,6800,12050.177136385,11884.635081884,35.0,PLTZERO
370522:9059,72:72,07/12/23 00:05:13,STABLE BEAMS,6800,12051.581480193,11868.646036986,35.0,PLTZERO
370522:9059,73:73,07/12/23 00:05:36,STABLE BEAMS,6800,12028.336562713,11868.380435920,34.9,PLTZERO
370522:9059,74:74,07/12/23 00:05:59,STABLE BEAMS,6800,12005.323098280,11845.671132486,34.8,PLTZERO
370522:9059,75:75,07/12/23 00:06:23,STABLE BEAMS,6800,12031.459713965,11884.973069397,34.9,PLTZERO
370522:9059,76:76,07/12/23 00:06:46,STABLE BEAMS,6800,12041.215899396,11876.624205181,34.9,PLTZERO
370522:9059,77:77,07/12/23 00:07:09,STABLE BEAMS,6800,12038.757809433,11877.962462224,34.9,PLTZERO
370522:9059,78:78,07/12/23 00:07:33,STABLE BEAMS,6800,12027.522082367,11864.092917751,34.9,PLTZERO
370522:9059,79:79,07/12/23 00:07:56,STABLE BEAMS,6800,12015.358589921,11841.236136965,34.9,PLTZERO
370522:9059,80:80,07/12/23 00:08:19,STABLE BEAMS,6800,12008.130809302,11861.709184619,34.8,PLTZERO
370522:9059,81:81,07/12/23 00:08:43,STABLE BEAMS,6800,11996.862854597,11837.798291807,34.8,PLTZERO
370522:9059,82:82,07/12/23 00:09:06,STABLE BEAMS,6800,12001.106160473,11824.190770950,34.8,PLTZERO
370522:9059,83:83,07/12/23 00:09:29,STABLE BEAMS,6800,12287.095210543,12118.731200803,35.6,PLTZERO
370522:9059,84:84,07/12/23 00:09:53,STABLE BEAMS,6800,12465.827746364,12308.604720135,36.2,PLTZERO
370522:9059,85:85,07/12/23 00:10:16,STABLE BEAMS,6800,12461.093213134,12148.583466527,36.2,PLTZERO
370522:9059,86:86,07/12/23 00:10:39,STABLE BEAMS,6800,12456.542279790,12161.791133618,36.1,PLTZERO
370522:9059,87:87,07/12/23 00:11:03,STABLE BEAMS,6800,12449.762756340,12149.175552155,36.1,PLTZERO
370522:9059,88:88,07/12/23 00:11:26,STABLE BEAMS,6800,12443.478366625,12168.502947528,36.1,PLTZERO
370522:9059,89:89,07/12/23 00:11:49,STABLE BEAMS,6800,12443.564306998,12135.888865560,36.1,PLTZERO
370522:9059,90:90,07/12/23 00:12:12,STABLE BEAMS,6800,12813.615736782,12505.270621082,37.2,PLTZERO
370522:9059,91:91,07/12/23 00:12:36,STABLE BEAMS,6800,13128.930962259,12771.637129305,38.1,PLTZERO
370522:9059,92:92,07/12/23 00:12:59,STABLE BEAMS,6800,13126.131063997,12780.349330661,38.1,PLTZERO
370522:9059,93:93,07/12/23 00:13:22,STABLE BEAMS,6800,13122.796968195,12754.348603383,38.1,PLTZERO
370522:9059,94:94,07/12/23 00:13:46,STABLE BEAMS,6800,13114.433407431,12771.754799734,38.0,PLTZERO
370522:9059,95:95,07/12/23 00:14:09,STABLE BEAMS,6800,13111.270215778,12782.564975458,38.0,PLTZERO
370522:9059,96:96,07/12/23 00:14:32,STABLE BEAMS,6800,13120.243171909,12593.851659648,38.1,PLTZERO
370522:9059,97:97,07/12/23 00:14:56,STABLE BEAMS,6800,13605.898074588,13185.779817471,39.5,PLTZERO
370522:9059,98:98,07/12/23 00:15:19,STABLE BEAMS,6800,13860.535490935,13293.046523043,40.2,PLTZERO
370522:9059,99:99,07/12/23 00:15:42,STABLE BEAMS,6800,13853.662214352,13245.763196890,40.2,PLTZERO
370522:9059,100:100,07/12/23 00:16:06,STABLE BEAMS,6800,13852.728589400,13437.537213534,40.2,PLTZERO
370522:9059,101:101,07/12/23 00:16:29,STABLE BEAMS,6800,13861.527711595,13411.643656650,40.2,PLTZERO
370522:9059,102:102,07/12/23 00:16:52,STABLE BEAMS,6800,13854.609511636,13178.272840649,40.2,PLTZERO
370522:9059,103:103,07/12/23 00:17:16,STABLE BEAMS,6800,13847.274305553,13434.183786682,40.2,PLTZERO
370522:9059,104:104,07/12/23 00:17:39,STABLE BEAMS,6800,14191.522138594,13841.930165987,41.2,PLTZERO
370522:9059,105:105,07/12/23 00:18:02,STABLE BEAMS,6800,14606.809455183,14212.396613885,42.4,PLTZERO
370522:9059,106:106,07/12/23 00:18:25,STABLE BEAMS,6800,14610.034172329,14206.201588918,42.4,PLTZERO
370522:9059,107:107,07/12/23 00:18:49,STABLE BEAMS,6800,14603.374770082,14219.875681794,42.4,PLTZERO
370522:9059,108:108,07/12/23 00:19:12,STABLE BEAMS,6800,14597.919509639,14331.749153836,42.4,PLTZERO
370522:9059,109:109,07/12/23 00:19:35,STABLE BEAMS,6800,14591.178073400,14363.687760441,42.3,PLTZERO
370522:9059,110:110,07/12/23 00:19:59,STABLE BEAMS,6800,14584.721802941,14334.575490687,42.3,PLTZERO
370522:9059,111:111,07/12/23 00:20:22,STABLE BEAMS,6800,14965.709145084,14689.493530365,43.4,PLTZERO
370522:9059,112:112,07/12/23 00:20:45,STABLE BEAMS,6800,15302.954790984,15045.011494130,44.4,PLTZERO
370522:9059,113:113,07/12/23 00:21:09,STABLE BEAMS,6800,15299.771090834,15022.785231662,44.4,PLTZERO
370522:9059,114:114,07/12/23 00:21:32,STABLE BEAMS,6800,15284.395576977,15008.124169256,44.3,PLTZERO
370522:9059,115:115,07/12/23 00:21:55,STABLE BEAMS,6800,15274.015347253,14979.984465096,44.3,PLTZERO
370522:9059,116:116,07/12/23 00:22:19,STABLE BEAMS,6800,15264.287483081,15005.644043167,44.3,PLTZERO
370522:9059,117:117,07/12/23 00:22:42,STABLE BEAMS,6800,15266.586388036,14991.865390489,44.3,PLTZERO
370522:9059,118:118,07/12/23 00:23:05,STABLE BEAMS,6800,15713.056387389,15418.833118494,45.6,PLTZERO
370522:9059,119:119,07/12/23 00:23:29,STABLE BEAMS,6800,15955.749068599,15628.180536681,46.3,PLTZERO
370522:9059,120:120,07/12/23 00:23:52,STABLE BEAMS,6800,15948.310343431,15659.436394856,46.3,PLTZERO
370522:9059,121:121,07/12/23 00:24:15,STABLE BEAMS,6800,15936.415414648,15611.687317213,46.2,PLTZERO
370522:9059,122:122,07/12/23 00:24:38,STABLE BEAMS,6800,15927.403394712,15613.325928672,46.2,PLTZERO
370522:9059,123:123,07/12/23 00:25:02,STABLE BEAMS,6800,15915.398110677,15627.441506668,46.2,PLTZERO
370522:9059,124:124,07/12/23 00:25:25,STABLE BEAMS,6800,15965.556036978,15649.353126696,46.3,PLTZERO
370522:9059,125:125,07/12/23 00:25:48,STABLE BEAMS,6800,16592.367024344,16240.235173042,48.1,PLTZERO
370522:9059,126:126,07/12/23 00:26:12,STABLE BEAMS,6800,16702.187100831,16326.994463740,48.5,PLTZERO
370522:9059,127:127,07/12/23 00:26:35,STABLE BEAMS,6800,16692.157468761,16338.672945045,48.4,PLTZERO
370522:9059,128:128,07/12/23 00:26:58,STABLE BEAMS,6800,16682.438393945,16327.508661686,48.4,PLTZERO
370522:9059,129:129,07/12/23 00:27:22,STABLE BEAMS,6800,16674.951815615,16324.728913467,48.4,PLTZERO
370522:9059,130:130,07/12/23 00:27:45,STABLE BEAMS,6800,16662.629138161,16100.630496556,48.3,PLTZERO
370522:9059,131:131,07/12/23 00:28:08,STABLE BEAMS,6800,16834.445427213,16474.491435510,48.8,PLTZERO
370522:9059,132:132,07/12/23 00:28:31,STABLE BEAMS,6800,17473.552723965,17093.847733825,50.7,PLTZERO
370522:9059,133:133,07/12/23 00:28:55,STABLE BEAMS,6800,17494.656944903,17090.525157851,50.8,PLTZERO
370522:9059,134:134,07/12/23 00:29:18,STABLE BEAMS,6800,17485.641018587,17085.893178270,50.7,PLTZERO
370522:9059,135:135,07/12/23 00:29:41,STABLE BEAMS,6800,17476.595794416,17076.401506461,50.7,PLTZERO
370522:9059,136:136,07/12/23 00:30:05,STABLE BEAMS,6800,17471.154206306,16800.828679239,50.7,PLTZERO
370522:9059,137:137,07/12/23 00:30:28,STABLE BEAMS,6800,17458.958486220,17078.251953094,50.7,PLTZERO
370522:9059,138:138,07/12/23 00:30:51,STABLE BEAMS,6800,17727.912787293,17309.504905413,51.4,PLTZERO
370522:9059,139:139,07/12/23 00:31:15,STABLE BEAMS,6800,18295.035256405,17574.078509328,53.1,PLTZERO
370522:9059,140:140,07/12/23 00:31:38,STABLE BEAMS,6800,18300.263946775,17552.019929198,53.1,PLTZERO
370522:9059,141:141,07/12/23 00:32:01,STABLE BEAMS,6800,18289.716719282,17602.768499496,53.1,PLTZERO
370522:9059,142:142,07/12/23 00:32:25,STABLE BEAMS,6800,18280.013269988,17588.151064797,53.0,PLTZERO
370522:9059,143:143,07/12/23 00:32:48,STABLE BEAMS,6800,18273.323593291,17833.158753751,53.0,PLTZERO
370522:9059,144:144,07/12/23 00:33:11,STABLE BEAMS,6800,18264.825262398,17598.173438892,53.0,PLTZERO
370522:9059,145:145,07/12/23 00:33:35,STABLE BEAMS,6800,18388.493457945,17680.913912295,53.3,PLTZERO
370522:9059,146:146,07/12/23 00:33:58,STABLE BEAMS,6800,18968.571438161,18180.573652786,55.0,PLTZERO
370522:9059,147:147,07/12/23 00:34:21,STABLE BEAMS,6800,18714.881319099,18214.568905225,54.3,PLTZERO
370522:9059,148:148,07/12/23 00:34:45,STABLE BEAMS,6800,18574.366857417,17755.650276401,53.9,PLTZERO
370522:9059,149:149,07/12/23 00:35:08,STABLE BEAMS,6800,18381.680730261,17906.658498724,53.3,PLTZERO
370522:9059,150:150,07/12/23 00:35:31,STABLE BEAMS,6800,18025.614142856,17568.646177245,52.3,PLTZERO
370522:9059,151:151,07/12/23 00:35:54,STABLE BEAMS,6800,17783.094318984,17050.054932396,51.6,PLTZERO
370522:9059,152:152,07/12/23 00:36:18,STABLE BEAMS,6800,19004.072624627,18290.769756088,55.1,PLTZERO
370522:9059,153:153,07/12/23 00:36:41,STABLE BEAMS,6800,19004.260130893,18396.998537964,55.1,PLTZERO
370522:9059,154:154,07/12/23 00:37:04,STABLE BEAMS,6800,18995.019587695,18113.999971080,55.1,PLTZERO
370522:9059,155:155,07/12/23 00:37:28,STABLE BEAMS,6800,18736.258986675,17869.160130013,54.4,PLTZERO
