#Data tag : 23v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
370749:9070,59:59,07/15/23 17:25:06,STABLE BEAMS,6800,5656.193427051,5581.188017356,16.4,PLTZERO
370749:9070,60:60,07/15/23 17:25:29,STABLE BEAMS,6800,1320.760204851,1315.457624991,3.8,PLTZERO
370749:9070,61:61,07/15/23 17:25:52,STABLE BEAMS,6800,5330.465744211,5285.353809359,15.5,PLTZERO
370749:9070,62:62,07/15/23 17:26:16,STABLE BEAMS,6800,11046.786180734,10824.004978850,32.0,PLTZERO
370749:9070,63:63,07/15/23 17:26:39,STABLE BEAMS,6800,11345.012944481,11124.171031818,32.9,PLTZERO
370749:9070,64:64,07/15/23 17:27:02,STABLE BEAMS,6800,5963.843845585,5905.572862312,17.3,PLTZERO
370749:9070,65:65,07/15/23 17:27:26,STABLE BEAMS,6800,1702.752707540,1695.766790041,4.9,PLTZERO
370749:9070,66:66,07/15/23 17:27:49,STABLE BEAMS,6800,5794.196574335,5719.995125983,16.8,PLTZERO
370749:9070,67:67,07/15/23 17:28:12,STABLE BEAMS,6800,12850.211686398,12498.074573449,37.3,PLTZERO
370749:9070,68:68,07/15/23 17:28:36,STABLE BEAMS,6800,12870.135203813,12537.278933935,37.3,PLTZERO
370749:9070,69:69,07/15/23 17:28:59,STABLE BEAMS,6800,12844.279847528,12527.642582318,37.3,PLTZERO
370749:9070,70:70,07/15/23 17:29:22,STABLE BEAMS,6800,12733.048591067,9711.005011827,36.9,PLTZERO
370749:9070,71:71,07/15/23 17:29:46,STABLE BEAMS,6800,12710.359356220,12212.097306672,36.9,PLTZERO
370749:9070,72:72,07/15/23 17:30:09,STABLE BEAMS,6800,12799.989304818,12458.221540193,37.1,PLTZERO
370749:9070,73:73,07/15/23 17:30:32,STABLE BEAMS,6800,12812.116663245,12485.817542110,37.2,PLTZERO
370749:9070,74:74,07/15/23 17:30:56,STABLE BEAMS,6800,12738.988242698,12412.497334215,37.0,PLTZERO
370749:9070,75:75,07/15/23 17:31:19,STABLE BEAMS,6800,12703.207750023,12361.576892416,36.9,PLTZERO
370749:9070,76:76,07/15/23 17:31:42,STABLE BEAMS,6800,12656.218874946,12340.205529017,36.7,PLTZERO
370749:9070,77:77,07/15/23 17:32:05,STABLE BEAMS,6800,12654.810624757,12336.024472278,36.7,PLTZERO
370749:9070,78:78,07/15/23 17:32:29,STABLE BEAMS,6800,12634.833394609,12315.303502958,36.7,PLTZERO
370749:9070,79:79,07/15/23 17:32:52,STABLE BEAMS,6800,12613.253571839,12296.502460989,36.6,PLTZERO
370749:9070,80:80,07/15/23 17:33:15,STABLE BEAMS,6800,12632.799146936,12296.763754424,36.6,PLTZERO
370749:9070,81:81,07/15/23 17:33:39,STABLE BEAMS,6800,12641.270133165,12343.627251326,36.7,PLTZERO
370749:9070,82:82,07/15/23 17:34:02,STABLE BEAMS,6800,12635.504315469,12323.328809898,36.7,PLTZERO
370749:9070,83:83,07/15/23 17:34:25,STABLE BEAMS,6800,12620.883709654,12294.815727178,36.6,PLTZERO
370749:9070,84:84,07/15/23 17:34:49,STABLE BEAMS,6800,12604.230809357,12292.914842951,36.6,PLTZERO
370749:9070,85:85,07/15/23 17:35:12,STABLE BEAMS,6800,12596.056708050,12300.318001800,36.5,PLTZERO
370749:9070,86:86,07/15/23 17:35:35,STABLE BEAMS,6800,12588.773261508,12263.473389669,36.5,PLTZERO
370749:9070,87:87,07/15/23 17:35:59,STABLE BEAMS,6800,12577.840278936,12264.781653158,36.5,PLTZERO
370749:9070,88:88,07/15/23 17:36:22,STABLE BEAMS,6800,12568.922988728,12241.639531258,36.5,PLTZERO
370749:9070,89:89,07/15/23 17:36:45,STABLE BEAMS,6800,12740.545911944,12436.862284704,37.0,PLTZERO
370749:9070,90:90,07/15/23 17:37:08,STABLE BEAMS,6800,13044.058008579,12694.463974519,37.8,PLTZERO
370749:9070,91:91,07/15/23 17:37:32,STABLE BEAMS,6800,13062.439482271,12707.908416268,37.9,PLTZERO
370749:9070,92:92,07/15/23 17:37:55,STABLE BEAMS,6800,13038.990456406,8240.730169551,37.8,PLTZERO
370749:9070,93:93,07/15/23 17:38:18,STABLE BEAMS,6800,13025.556413685,8908.563100225,37.8,PLTZERO
370749:9070,94:94,07/15/23 17:38:42,STABLE BEAMS,6800,13030.497008489,12683.200642874,37.8,PLTZERO
370749:9070,95:95,07/15/23 17:39:05,STABLE BEAMS,6800,13023.092464151,12691.630399484,37.8,PLTZERO
370749:9070,96:96,07/15/23 17:39:28,STABLE BEAMS,6800,13043.800187462,9812.418337482,37.8,PLTZERO
