fill,h,t1,t2,mean_lumi,mean_sbil
9063,0,1689176700,1689176999,12395.446337695692,12395.446337695692
9063,1,1689177000,1689177299,12391.672097977153,12391.672097977153
9063,2,1689177300,1689177599,13349.628317029386,13349.628317029386
9063,3,1689177600,1689177899,14829.120520735614,14829.120520735614
9063,4,1689177900,1689178199,16004.945048688618,16004.945048688618
9063,5,1689178200,1689178499,17524.05997083454,17524.05997083454
9063,6,1689178500,1689178799,18788.652714860153,18788.652714860153
9063,7,1689178800,1689179099,18763.70277495233,18763.70277495233
9063,8,1689179100,1689179399,19996.70976535108,19996.70976535108
9063,9,1689179400,1689179699,20932.988351874308,20932.988351874308
9063,10,1689179700,1689179999,20773.267869713385,20773.267869713385
9063,11,1689180000,1689180299,21005.59609696723,21005.59609696723
9063,12,1689180300,1689180599,20963.985181071308,20963.985181071308
9063,13,1689180600,1689180899,20979.09506105046,20979.09506105046
9063,14,1689180900,1689181199,20826.43415977577,20826.43415977577
9063,15,1689181200,1689181499,20801.284869255167,20801.284869255167
9063,16,1689181500,1689181799,20804.04774454454,20804.04774454454
9063,17,1689181800,1689182099,20940.123956935924,20940.123956935924
9063,18,1689182100,1689182399,20818.696070636463,20818.696070636463
9063,19,1689182400,1689182699,20850.91935308192,20850.91935308192
9063,20,1689182700,1689182999,20788.768988729305,20788.768988729305
9063,21,1689183000,1689183299,20786.48811322262,20786.48811322262
9063,22,1689183300,1689183599,20934.252203708085,20934.252203708085
9063,23,1689183600,1689183899,20740.10540323569,20740.10540323569
9063,24,1689183900,1689184199,20814.408066752538,20814.408066752538
9063,25,1689184200,1689184499,20778.562067080617,20778.562067080617
9063,26,1689184500,1689184799,21010.021725642924,21010.021725642924
9063,27,1689184800,1689185099,20857.617143030846,20857.617143030846
9063,28,1689185100,1689185399,20784.92586149223,20784.92586149223
9063,29,1689185400,1689185699,20811.80115871508,20811.80115871508
9063,30,1689185700,1689185999,20735.143010327,20735.143010327
9063,31,1689186000,1689186299,21057.666196548384,21057.666196548384
9063,32,1689186300,1689186599,20847.708158021924,20847.708158021924
9063,33,1689186600,1689186899,20775.03896255792,20775.03896255792
9063,34,1689186900,1689187199,20842.73984294023,20842.73984294023
9063,35,1689187200,1689187499,20830.80389716069,20830.80389716069
9063,36,1689187500,1689187799,20764.059178541233,20764.059178541233
9063,37,1689187800,1689188099,20904.56615299325,20904.56615299325
9063,38,1689188100,1689188399,20935.71891188077,20935.71891188077
9063,39,1689188400,1689188699,20845.23016054269,20845.23016054269
9063,40,1689188700,1689188999,20874.865315626226,20874.865315626226
9063,41,1689189000,1689189299,20855.80308000023,20855.80308000023
9063,42,1689189300,1689189599,20823.935578675922,20823.935578675922
9063,43,1689189600,1689189899,20949.690081928617,20949.690081928617
9063,44,1689189900,1689190199,20848.069347977616,20848.069347977616
9063,45,1689190200,1689190499,20846.638110241416,20846.638110241416
9063,46,1689190500,1689190799,20826.317419095612,20826.317419095612
9063,47,1689190800,1689191099,20811.05759420131,20811.05759420131
9063,48,1689191100,1689191399,20878.616342429694,20878.616342429694
9063,49,1689191400,1689191699,20827.887934323233,20827.887934323233
9063,50,1689191700,1689191999,20830.96150459138,20830.96150459138
9063,51,1689192000,1689192299,20811.549197169385,20811.549197169385
9063,52,1689192300,1689192599,20790.16732272192,20790.16732272192
9063,53,1689192600,1689192899,20711.56556220192,20711.56556220192
9063,54,1689192900,1689193199,20382.70869325254,20382.70869325254
9063,55,1689193200,1689193499,20252.362990886846,20252.362990886846
9063,56,1689193500,1689193799,20730.411870139073,20730.411870139073
9063,57,1689193800,1689194099,20553.23001715169,20553.23001715169
9063,58,1689194100,1689194399,20222.350870079925,20222.350870079925
9063,59,1689194400,1689194699,20049.505399997077,20049.505399997077
9063,60,1689194700,1689194999,19930.575593979498,19930.575593979498
9063,61,1689195000,1689195299,19795.158257774772,19795.158257774772
9063,62,1689195300,1689195599,19695.106236106767,19695.106236106767
9063,63,1689195600,1689195899,19584.71958419485,19584.71958419485
9063,64,1689195900,1689196199,19351.091734180154,19351.091734180154
9063,65,1689196200,1689196499,19190.962885006076,19190.962885006076
9063,66,1689196500,1689196799,19043.912147187155,19043.912147187155
9063,67,1689196800,1689197099,18919.835434382076,18919.835434382076
9063,68,1689197100,1689197399,18830.235922999083,18830.235922999083
9063,69,1689197400,1689197699,18714.57992681454,18714.57992681454
9063,70,1689197700,1689197999,18606.114613153077,18606.114613153077
9063,71,1689198000,1689198299,18471.96935471808,18471.96935471808
9063,72,1689198300,1689198599,18364.025693105923,18364.025693105923
9063,73,1689198600,1689198899,18182.510462122078,18182.510462122078
9063,74,1689198900,1689199199,17979.973344683076,17979.973344683076
9063,75,1689199200,1689199499,17813.506843797997,17813.506843797997
9063,76,1689199500,1689199799,17722.882996799082,17722.882996799082
9063,77,1689199800,1689200099,17630.202190030155,17630.202190030155
9063,78,1689200100,1689200399,17517.14657872808,17517.14657872808
9063,79,1689200400,1689200699,17412.721514276614,17412.721514276614
9063,80,1689200700,1689200999,17316.064738290614,17316.064738290614
9063,81,1689201000,1689201299,17206.891167785998,17206.891167785998
9063,82,1689201300,1689201599,17019.414499587463,17019.414499587463
9063,83,1689201600,1689201899,16809.689554287917,16809.689554287917
9063,84,1689201900,1689202199,16721.052665220384,16721.052665220384
9063,85,1689202200,1689202499,16616.246127683153,16616.246127683153
9063,86,1689202500,1689202799,16532.141604131848,16532.141604131848
9063,87,1689202800,1689203099,16433.058064350156,16433.058064350156
9063,88,1689203100,1689203399,16347.426746984387,16347.426746984387
9063,89,1689203400,1689203699,16232.092739224921,16232.092739224921
9063,90,1689203700,1689203999,16141.066710315306,16141.066710315306
9063,91,1689204000,1689204299,15954.734955931168,15954.734955931168
9063,92,1689204300,1689204599,15860.309881382924,15860.309881382924
9063,93,1689204600,1689204899,15652.479392926616,15652.479392926616
9063,94,1689204900,1689205199,15543.979297453694,15543.979297453694
9063,95,1689205200,1689205499,15470.343798661692,15470.343798661692
9063,96,1689205500,1689205799,15386.876015140617,15386.876015140617
9063,97,1689205800,1689206099,15316.321073028153,15316.321073028153
9063,98,1689206100,1689206399,15229.738401752307,15229.738401752307
9063,99,1689206400,1689206699,15141.731303864917,15141.731303864917
9063,100,1689206700,1689206999,15053.04251753023,15053.04251753023
9063,101,1689207000,1689207299,14986.643213099229,14986.643213099229
9063,102,1689207300,1689207599,14856.178666617383,14856.178666617383
9063,103,1689207600,1689207899,14704.200555589923,14704.200555589923
9063,104,1689207900,1689208199,14620.309681005769,14620.309681005769
9063,105,1689208200,1689208499,14546.178823110617,14546.178823110617
9063,106,1689208500,1689208799,14465.863012918833,14465.863012918833
9063,107,1689208800,1689209099,14396.268163990693,14396.268163990693
9063,108,1689209100,1689209399,14295.017709842845,14295.017709842845
9063,109,1689209400,1689209699,14203.912501604385,14203.912501604385
9063,110,1689209700,1689209999,14127.04913051215,14127.04913051215
9063,111,1689210000,1689210299,14059.72596708046,14059.72596708046
9063,112,1689210300,1689210599,13932.504993543615,13932.504993543615
9063,113,1689210600,1689210899,13823.602090137612,13823.602090137612
9063,114,1689210900,1689211199,13679.49566771625,13679.49566771625
9063,115,1689211200,1689211499,13610.488297106076,13610.488297106076
9063,116,1689211500,1689211799,13541.344835459227,13541.344835459227
9063,117,1689211800,1689212099,13462.265494875923,13462.265494875923
9063,118,1689212100,1689212399,13364.41389229977,13364.41389229977
9063,119,1689212400,1689212699,13324.100195238305,13324.100195238305
9063,120,1689212700,1689212999,13259.11086881869,13259.11086881869
9063,121,1689213000,1689213299,13111.369753359848,13111.369753359848
9063,122,1689213300,1689213599,13036.444391498168,13036.444391498168
9063,123,1689213600,1689213899,12967.256087857844,12967.256087857844
9063,124,1689213900,1689214199,12893.969759389309,12893.969759389309
9063,125,1689214200,1689214499,12842.013545825846,12842.013545825846
9063,126,1689214500,1689214799,12766.164105855538,12766.164105855538
9063,127,1689214800,1689215099,12657.730268606692,12657.730268606692
9063,128,1689215100,1689215399,12568.217661670538,12568.217661670538
9063,129,1689215400,1689215699,12470.31609623675,12470.31609623675
9063,130,1689215700,1689215999,12413.871307432693,12413.871307432693
9063,131,1689216000,1689216299,12364.871698088999,12364.871698088999
9063,132,1689216300,1689216599,12259.815077073694,12259.815077073694
9063,133,1689216600,1689216899,12193.271987789156,12193.271987789156
9063,134,1689216900,1689217199,12134.102642534537,12134.102642534537
9063,135,1689217200,1689217499,12071.599501969076,12071.599501969076
