fill,h,t1,t2,mean_lumi,mean_sbil
9072,0,1689487500,1689487799,11365.86136322477,11365.86136322477
9072,1,1689487800,1689488099,13252.544318231845,13252.544318231845
9072,2,1689488100,1689488399,13863.959358366692,13863.959358366692
9072,3,1689488400,1689488699,15252.149907966308,15252.149907966308
9072,4,1689488700,1689488999,16723.000071049002,16723.000071049002
9072,5,1689489000,1689489299,18167.223893545844,18167.223893545844
9072,6,1689489300,1689489599,18359.726708786915,18359.726708786915
9072,7,1689489600,1689489899,18465.55808275823,18465.55808275823
9072,8,1689489900,1689490199,19685.94081561154,19685.94081561154
9072,9,1689490200,1689490499,20794.922589818154,20794.922589818154
9072,10,1689490500,1689490799,20931.68948034031,20931.68948034031
9072,11,1689490800,1689491099,21264.103083742302,21264.103083742302
9072,12,1689491100,1689491399,20846.555325022615,20846.555325022615
9072,13,1689491400,1689491699,20889.086957286254,20889.086957286254
9072,14,1689491700,1689491999,20901.48549615023,20901.48549615023
9072,15,1689492000,1689492299,20869.080416763543,20869.080416763543
9072,16,1689492300,1689492599,20920.51618024115,20920.51618024115
9072,17,1689492600,1689492899,20884.94588088877,20884.94588088877
9072,18,1689492900,1689493199,20931.37231228846,20931.37231228846
9072,19,1689493200,1689493499,20945.167695211305,20945.167695211305
9072,20,1689493500,1689493799,20923.602521368768,20923.602521368768
9072,21,1689493800,1689494099,20886.506955696666,20886.506955696666
9072,22,1689494100,1689494399,20872.73032840892,20872.73032840892
9072,23,1689494400,1689494699,20931.221916637303,20931.221916637303
9072,24,1689494700,1689494999,20957.638364390696,20957.638364390696
9072,25,1689495000,1689495299,20928.19537318108,20928.19537318108
9072,26,1689495300,1689495599,20881.866300804384,20881.866300804384
9072,27,1689495600,1689495899,20880.952808736536,20880.952808736536
9072,28,1689495900,1689496199,20898.61610938854,20898.61610938854
9072,29,1689496200,1689496499,20850.384817489085,20850.384817489085
9072,30,1689496500,1689496799,20902.134706548924,20902.134706548924
9072,31,1689496800,1689497099,20839.528197144078,20839.528197144078
9072,32,1689497100,1689497399,21047.42216428431,21047.42216428431
9072,33,1689497400,1689497699,20905.17447160085,20905.17447160085
9072,34,1689497700,1689497999,21121.406307540616,21121.406307540616
9072,35,1689498000,1689498299,21014.098183995386,21014.098183995386
9072,36,1689498300,1689498599,20938.062552406,20938.062552406
9072,37,1689498600,1689498899,21014.245724984,21014.245724984
9072,38,1689498900,1689499199,20904.43932082977,20904.43932082977
9072,39,1689499200,1689499499,20910.92466377469,20910.92466377469
9072,40,1689499500,1689499799,21055.417173067923,21055.417173067923
9072,41,1689499800,1689500099,20887.941924527462,20887.941924527462
9072,42,1689500100,1689500399,20977.590353310385,20977.590353310385
9072,43,1689500400,1689500699,21100.176180953,21100.176180953
9072,44,1689500700,1689500999,20951.265630377333,20951.265630377333
9072,45,1689501000,1689501299,20925.592521769617,20925.592521769617
9072,46,1689501300,1689501599,20844.10557367969,20844.10557367969
9072,47,1689501600,1689501899,20897.623738482613,20897.623738482613
9072,48,1689501900,1689502199,20895.35458211754,20895.35458211754
9072,49,1689502200,1689502499,20829.72859079054,20829.72859079054
9072,50,1689502500,1689502799,21060.966186643233,21060.966186643233
9072,51,1689502800,1689503099,21063.81438880254,21063.81438880254
9072,52,1689503100,1689503399,21084.237847806,21084.237847806
9072,53,1689503400,1689503699,20901.506079770767,20901.506079770767
9072,54,1689503700,1689503999,20883.117995280772,20883.117995280772
9072,55,1689504000,1689504299,20772.44497562531,20772.44497562531
9072,56,1689504300,1689504599,20041.985767677925,20041.985767677925
9072,57,1689504600,1689504899,20154.54406668646,20154.54406668646
9072,58,1689504900,1689505199,19870.274349919,19870.274349919
9072,59,1689505200,1689505499,20854.52851066075,20854.52851066075
9072,60,1689505500,1689505799,20872.89469688269,20872.89469688269
9072,61,1689505800,1689506099,20812.859337108694,20812.859337108694
9072,62,1689506100,1689506399,20820.710711284075,20820.710711284075
9072,63,1689506400,1689506699,20810.912457139308,20810.912457139308
9072,64,1689506700,1689506999,20893.807955909462,20893.807955909462
9072,65,1689507000,1689507299,20826.775817828693,20826.775817828693
9072,66,1689507300,1689507599,20829.381523903154,20829.381523903154
9072,67,1689507600,1689507899,20784.62692321625,20784.62692321625
9072,68,1689507900,1689508199,20899.075559839614,20899.075559839614
9072,69,1689508200,1689508499,20792.38614687592,20792.38614687592
9072,70,1689508500,1689508799,20553.15399297623,20553.15399297623
9072,71,1689508800,1689509099,20546.367558237842,20546.367558237842
9072,72,1689509100,1689509399,20334.706638281154,20334.706638281154
9072,73,1689509400,1689509699,20213.52440322031,20213.52440322031
9072,74,1689509700,1689509999,20036.70983764825,20036.70983764825
9072,75,1689510000,1689510299,19935.38214484123,19935.38214484123
9072,76,1689510300,1689510599,19784.528846044694,19784.528846044694
9072,77,1689510600,1689510899,19528.86645553923,19528.86645553923
9072,78,1689510900,1689511199,19398.626976675383,19398.626976675383
9072,79,1689511200,1689511499,19255.251091239075,19255.251091239075
9072,80,1689511500,1689511799,19105.908209507998,19105.908209507998
9072,81,1689511800,1689512099,18850.711880251536,18850.711880251536
9072,82,1689512100,1689512399,18805.357812915754,18805.357812915754
9072,83,1689512400,1689512699,18692.629824241772,18692.629824241772
