fill,channel,h,t1,t2,ntracks_time,BSZ_x,BSZ_x_std,BSZ_y,BSZ_y_std
8741,0,0,1683739800,1683740099,27627,-0.08968671411275864,1.1360538005828857,-0.009625989012420177,0.9153468012809753
8741,1,0,1683739800,1683740099,24166,-0.015719253569841385,0.8536725044250488,0.11872971057891846,1.1340985298156738
8741,2,0,1683739800,1683740099,25437,0.05756086856126785,0.9029825925827026,-0.011637799441814423,1.1951744556427002
8741,3,0,1683739800,1683740099,24186,-0.14216667413711548,1.1882314682006836,-0.09327127039432526,0.9352006912231445
8741,4,0,1683739800,1683740099,20814,0.01013220101594925,1.2785307168960571,0.04186287894845009,0.9542267918586731
8741,5,0,1683739800,1683740099,18191,-0.03900199756026268,0.9442585110664368,0.006558312568813562,1.2689971923828125
8741,7,0,1683739800,1683740099,9971,0.2547176778316498,1.691778540611267,0.1731852889060974,1.1501201391220093
8741,8,0,1683739800,1683740099,27347,-0.052826061844825745,1.1929162740707397,-0.17743264138698578,0.9020299315452576
8741,9,0,1683739800,1683740099,18395,0.1414027363061905,0.8876996636390686,-0.046335503458976746,1.1701229810714722
8741,10,0,1683739800,1683740099,27743,0.12605156004428864,0.8900245428085327,0.10328777134418488,1.1731622219085693
8741,11,0,1683739800,1683740099,29480,-0.08219552040100098,1.1578013896942139,0.1440647691488266,0.869548499584198
8741,12,0,1683739800,1683740099,27706,0.09871669858694077,1.1818501949310303,0.125849187374115,0.8821714520454407
8741,13,0,1683739800,1683740099,,,,,
8741,14,0,1683739800,1683740099,24941,-0.1706535965204239,0.9234363436698914,-0.11428909003734589,1.2406857013702393
8741,15,0,1683739800,1683740099,24571,0.058875035494565964,1.2158063650131226,-0.1961815357208252,0.8647965788841248
8741,0,1,1683740100,1683740399,27376,-0.103520467877388,1.1327723264694214,0.0023359975311905146,0.8866702318191528
8741,1,1,1683740100,1683740399,24404,-0.02507760562002659,0.8511654138565063,0.10104741901159286,1.139909029006958
8741,2,1,1683740100,1683740399,25201,0.05417165532708168,0.8749961853027344,-0.014131368137896061,1.150750994682312
8741,3,1,1683740100,1683740399,24426,-0.12884174287319183,1.1963574886322021,-0.08895561099052429,0.9320005178451538
8741,4,1,1683740100,1683740399,20733,-0.002320413012057543,1.2402136325836182,0.03999442979693413,0.9220146536827087
8741,5,1,1683740100,1683740399,18053,-0.025847626850008965,0.9767358303070068,-0.014675471000373363,1.3033373355865479
8741,7,1,1683740100,1683740399,9625,0.2386040985584259,1.6448978185653687,0.18774308264255524,1.151839017868042
8741,8,1,1683740100,1683740399,27190,-0.07626768201589584,1.1767216920852661,-0.18255572021007538,0.8936806321144104
8741,9,1,1683740100,1683740399,18361,0.1362924724817276,0.8757119178771973,-0.058003537356853485,1.1638963222503662
8741,10,1,1683740100,1683740399,27374,0.12421847134828568,0.8609326481819153,0.11031675338745117,1.1499279737472534
8741,11,1,1683740100,1683740399,29246,-0.08597913384437561,1.1637990474700928,0.13383843004703522,0.9260963797569275
8741,12,1,1683740100,1683740399,27324,0.09101679921150208,1.1587225198745728,0.11362387239933014,0.8934056162834167
8741,13,1,1683740100,1683740399,,,,,
8741,14,1,1683740100,1683740399,24507,-0.16189096868038177,0.8937835693359375,-0.1266295164823532,1.2194441556930542
8741,15,1,1683740100,1683740399,24647,0.04796924814581871,1.252637267112732,-0.19221438467502594,0.8839375972747803
8741,0,2,1683740400,1683740699,27408,-0.0937887504696846,1.1512606143951416,0.023801902309060097,0.9004496335983276
8741,1,2,1683740400,1683740699,24533,-0.007060359697788954,0.8860607147216797,0.1000065729022026,1.1456509828567505
8741,2,2,1683740400,1683740699,25381,0.07075046747922897,0.9196631908416748,-0.023508254438638687,1.1860771179199219
8741,3,2,1683740400,1683740699,24338,-0.13158375024795532,1.182551622390747,-0.10527142882347107,0.8963271975517273
8741,4,2,1683740400,1683740699,21165,-0.015719765797257423,1.265371561050415,0.03978036716580391,0.9437840580940247
8741,5,2,1683740400,1683740699,18676,-0.06063106283545494,0.9875515699386597,-0.005613425280898809,1.2725794315338135
8741,7,2,1683740400,1683740699,9818,0.2247305065393448,1.62796950340271,0.2073531150817871,1.102415680885315
8741,8,2,1683740400,1683740699,27421,-0.08201979845762253,1.1615885496139526,-0.1706961840391159,0.8910331726074219
8741,9,2,1683740400,1683740699,18531,0.11455981433391571,0.8787505030632019,-0.060649286955595016,1.1769520044326782
8741,10,2,1683740400,1683740699,27917,0.10936673730611801,0.8925632238388062,0.10397078841924667,1.171829342842102
8741,11,2,1683740400,1683740699,29791,-0.09957380592823029,1.1514887809753418,0.12279335409402847,0.89337557554245
8741,12,2,1683740400,1683740699,28050,0.10702928900718689,1.1712411642074585,0.10581269860267639,0.8939850926399231
8741,13,2,1683740400,1683740699,,,,,
8741,14,2,1683740400,1683740699,24839,-0.16162048280239105,0.8964254260063171,-0.09970036894083023,1.2388439178466797
8741,15,2,1683740400,1683740699,24939,0.0515478178858757,1.2333247661590576,-0.17554111778736115,0.8597127199172974
8741,0,3,1683740700,1683740999,28249,-0.09091933071613312,1.1155965328216553,0.01030463632196188,0.905820369720459
8741,1,3,1683740700,1683740999,25340,-0.0004883484798483551,0.9058907628059387,0.10838554799556732,1.1365925073623657
8741,2,3,1683740700,1683740999,26391,0.07674883306026459,0.9076675772666931,-0.011292431503534317,1.176175594329834
8741,3,3,1683740700,1683740999,25388,-0.1286824345588684,1.191246509552002,-0.11983663588762283,0.9240562915802002
8741,4,3,1683740700,1683740999,21946,-0.011653313413262367,1.2462643384933472,0.03055133856832981,0.9504333734512329
