fill,h,t1,t2,mean_lumi,mean_sbil
9057,0,1689061500,1689061799,12290.522308251153,12290.522308251153
9057,1,1689061800,1689062099,12482.639080442234,12482.639080442234
9057,2,1689062100,1689062399,13765.057840894306,13765.057840894306
9057,3,1689062400,1689062699,15197.507607036541,15197.507607036541
9057,4,1689062700,1689062999,16263.80184433,16263.80184433
9057,5,1689063000,1689063299,16711.13346352385,16711.13346352385
9057,6,1689063300,1689063599,16788.217469994383,16788.217469994383
9057,7,1689063600,1689063899,18184.453736201845,18184.453736201845
9057,8,1689063900,1689064199,19134.117084953617,19134.117084953617
9057,9,1689064200,1689064499,19207.174063810075,19207.174063810075
9057,10,1689064500,1689064799,19508.944215209616,19508.944215209616
9057,11,1689064800,1689065099,20412.224553483848,20412.224553483848
9057,12,1689065100,1689065399,20457.313249871495,20457.313249871495
9057,13,1689065400,1689065699,20542.632006711305,20542.632006711305
9057,14,1689065700,1689065999,20993.60966873123,20993.60966873123
9057,15,1689066000,1689066299,20805.541784860387,20805.541784860387
9057,16,1689066300,1689066599,20634.090291653694,20634.090291653694
9057,17,1689066600,1689066899,20452.654390243923,20452.654390243923
9057,18,1689066900,1689067199,20852.628394573847,20852.628394573847
9057,19,1689067200,1689067499,21002.796323910497,21002.796323910497
9057,20,1689067500,1689067799,20741.128273959002,20741.128273959002
9057,21,1689067800,1689068099,20526.22400642554,20526.22400642554
9057,22,1689068100,1689068399,20599.947774393462,20599.947774393462
9057,23,1689068400,1689068699,21057.80021545054,21057.80021545054
9057,24,1689068700,1689068999,20616.824239855,20616.824239855
9057,25,1689069000,1689069299,20285.061800041927,20285.061800041927
9057,26,1689069300,1689069599,20879.870290587154,20879.870290587154
9057,27,1689069600,1689069899,21187.914327043418,21187.914327043418
9057,28,1689069900,1689070199,21026.010691491847,21026.010691491847
9057,29,1689070200,1689070499,20794.914326320846,20794.914326320846
9057,30,1689070500,1689070799,20708.713729111998,20708.713729111998
9057,31,1689070800,1689071099,20528.711769856156,20528.711769856156
9057,32,1689071100,1689071399,20747.376830144312,20747.376830144312
9057,33,1689071400,1689071699,21012.587015703073,21012.587015703073
9057,34,1689071700,1689071999,20892.693585734003,20892.693585734003
9057,35,1689072000,1689072299,20614.6186372965,20614.6186372965
9057,36,1689072300,1689072599,20822.623485546384,20822.623485546384
9057,37,1689072600,1689072899,21174.500179317387,21174.500179317387
9057,38,1689072900,1689073199,20866.659963274768,20866.659963274768
9057,39,1689073200,1689073499,20690.06662154223,20690.06662154223
9057,40,1689073500,1689073799,20519.352683032692,20519.352683032692
9057,41,1689073800,1689074099,20699.399265174306,20699.399265174306
9057,42,1689074100,1689074399,20939.306083548585,20939.306083548585
9057,43,1689074400,1689074699,21099.136182253536,21099.136182253536
9057,44,1689074700,1689074999,21125.432734172922,21125.432734172922
9057,45,1689075000,1689075299,20976.56297522508,20976.56297522508
9057,46,1689075300,1689075599,20958.139432819233,20958.139432819233
9057,47,1689075600,1689075899,21047.83038105231,21047.83038105231
9057,48,1689075900,1689076199,20909.56283941585,20909.56283941585
