fill,channel,h,t1,t2,BSZ_x,BSZ_x_std,BSZ_y,BSZ_y_std
9057,0,0,1689061500,1689061799,-0.07547543942928314,1.16879403591156,-0.00021897023543715477,0.9258674383163452
9057,1,0,1689061500,1689061799,-0.035500362515449524,0.9426483511924744,0.09818320721387863,1.1817764043807983
9057,2,0,1689061500,1689061799,0.0437282957136631,0.9291760325431824,0.008232898078858852,1.1802794933319092
9057,3,0,1689061500,1689061799,-0.12545229494571686,1.2117524147033691,-0.09029552340507507,0.9738728404045105
9057,4,0,1689061500,1689061799,0.007447470910847187,1.2860463857650757,0.07581060379743576,1.0100284814834595
9057,5,0,1689061500,1689061799,0.0054991720244288445,1.0539571046829224,-0.0037441174499690533,1.3417145013809204
9057,7,0,1689061500,1689061799,-0.01726515404880047,1.4652612209320068,0.004172962624579668,1.0717341899871826
9057,8,0,1689061500,1689061799,-0.09420718252658844,1.2051764726638794,-0.17429739236831665,0.9517767429351807
9057,9,0,1689061500,1689061799,0.1349962055683136,0.9377711415290833,-0.027019323781132698,1.22173011302948
9057,10,0,1689061500,1689061799,0.12331560254096985,0.933604896068573,0.011238258332014084,1.1946192979812622
9057,11,0,1689061500,1689061799,-0.06890570372343063,1.174888014793396,0.13092195987701416,0.9297046661376953
9057,12,0,1689061500,1689061799,0.10758709162473679,1.2074425220489502,0.08760091662406921,0.9490123987197876
9057,13,0,1689061500,1689061799,-0.10379400104284286,0.9517388939857483,0.09762726724147797,1.1993328332901
9057,14,0,1689061500,1689061799,-0.13639771938323975,0.9656361937522888,-0.08707430213689804,1.2575244903564453
9057,15,0,1689061500,1689061799,0.0535522997379303,1.2588238716125488,-0.1710108369588852,0.908736526966095
9057,0,1,1689061800,1689062099,-0.06466598808765411,1.165106177330017,-0.008521204814314842,0.9251783490180969
9057,1,1,1689061800,1689062099,-0.018950235098600388,0.9482857584953308,0.10173895210027695,1.1902042627334595
9057,2,1,1689061800,1689062099,0.04645366221666336,0.9114713072776794,0.0033927992917597294,1.2009963989257812
9057,3,1,1689061800,1689062099,-0.13956956565380096,1.2098519802093506,-0.09744976460933685,0.9552763104438782
9057,4,1,1689061800,1689062099,-0.002281565684825182,1.3335576057434082,0.05400316044688225,1.0198075771331787
9057,5,1,1689061800,1689062099,-0.024717751890420914,1.0608807802200317,0.00499521242454648,1.357069730758667
9057,7,1,1689061800,1689062099,0.005908756982535124,1.5010740756988525,0.00890510156750679,1.0604239702224731
9057,8,1,1689061800,1689062099,-0.0648970901966095,1.1999287605285645,-0.14699818193912506,0.9242002964019775
9057,9,1,1689061800,1689062099,0.10252606123685837,0.9196730852127075,-0.05241544544696808,1.2173467874526978
9057,10,1,1689061800,1689062099,0.12009218335151672,0.927101194858551,0.0078018344938755035,1.168500542640686
9057,11,1,1689061800,1689062099,-0.07015072554349899,1.184645175933838,0.12471820414066315,0.9387574791908264
9057,12,1,1689061800,1689062099,0.1032271757721901,1.2096335887908936,0.09387759864330292,0.9319241046905518
9057,13,1,1689061800,1689062099,-0.10102858394384384,0.9551876187324524,0.0848778635263443,1.2082221508026123
9057,14,1,1689061800,1689062099,-0.13865895569324493,0.9351084232330322,-0.09131395816802979,1.246699571609497
9057,15,1,1689061800,1689062099,0.06304629892110825,1.261533260345459,-0.1609186828136444,0.9365817904472351
9057,0,2,1689062100,1689062399,-0.0798574909567833,1.1824862957000732,-0.005162509623914957,0.9551402926445007
9057,1,2,1689062100,1689062399,-0.01900884136557579,0.9392728805541992,0.09699010103940964,1.1942509412765503
9057,2,2,1689062100,1689062399,0.047716815024614334,0.9059251546859741,-0.009973126463592052,1.2139499187469482
9057,3,2,1689062100,1689062399,-0.1165560632944107,1.2173264026641846,-0.10083940625190735,0.9482033252716064
9057,4,2,1689062100,1689062399,-0.008446882478892803,1.3370462656021118,0.0594814196228981,1.0066490173339844
9057,5,2,1689062100,1689062399,-0.033546049147844315,1.0543444156646729,-0.01470206119120121,1.3568737506866455
9057,7,2,1689062100,1689062399,-0.014650835655629635,1.474065899848938,0.0036330048460513353,1.087389349937439
9057,8,2,1689062100,1689062399,-0.08268077671527863,1.2317001819610596,-0.16172461211681366,0.942738950252533
9057,9,2,1689062100,1689062399,0.12081749737262726,0.9420663118362427,-0.031797878444194794,1.230701208114624
9057,10,2,1689062100,1689062399,0.11237917840480804,0.9528641104698181,0.002514478750526905,1.2125422954559326
9057,11,2,1689062100,1689062399,-0.07661842554807663,1.1989691257476807,0.12279955297708511,0.9551728367805481
9057,12,2,1689062100,1689062399,0.11718066781759262,1.2364542484283447,0.09205248206853867,0.9640407562255859
9057,13,2,1689062100,1689062399,-0.0887068584561348,0.953271210193634,0.09700677543878555,1.2233668565750122
9057,14,2,1689062100,1689062399,-0.135665163397789,0.9679811596870422,-0.09788523614406586,1.2540240287780762
9057,15,2,1689062100,1689062399,0.05397479608654976,1.2880750894546509,-0.1614214926958084,0.9235966801643372
9057,0,3,1689062400,1689062699,-0.07166796177625656,1.202481746673584,-0.007634972222149372,0.9840528964996338
9057,1,3,1689062400,1689062699,-0.024268466979265213,0.947900116443634,0.10225841403007507,1.1960004568099976
9057,2,3,1689062400,1689062699,0.05025382339954376,0.92657470703125,-0.0074023776687681675,1.2175335884094238
9057,3,3,1689062400,1689062699,-0.10863421857357025,1.2238868474960327,-0.08735889941453934,0.9536683559417725
9057,4,3,1689062400,1689062699,-0.009052432142198086,1.3407262563705444,0.061257265508174896,1.0497634410858154
9057,5,3,1689062400,1689062699,-0.02129972353577614,1.0776877403259277,0.0028875458519905806,1.364830732345581
