fill,t1,t2,mean_lumi,mean_sbil,channel,ntracks_time,ntracks_resi,bkg_frac,bkg_frac_e,bkg_m0,bkg_m0_e,bkg_s0,bkg_s0_e,BSZ_x,BSZ_x_std,BSZ_y,BSZ_y_std,chi2,fSlopeY(%),fSlopeY_e(%),fR(%),fR_e(%)
8999,1687976700,1687976999,3.739744037230769,0.02749811792081448,-1,8368,8207,0.0009058197317614,0.0020486586768135,0.03999744569267,0.0193446662638762,0.0202915080130805,0.0116490805151519,0.0143629750236868,1.021780252456665,0.0144000006839632,0.9908021092414856,1.0771654594332754,0.09058197317614,0.20486586768134998,1.9239961759082218,0.15163214077975048
8999,1687977000,1687977299,4.7440925965384615,0.034883033798076925,-1,10465,10260,0.0004819474266605,0.3692921480347935,0.0182159279612815,0.0189894318399356,0.0162166848995536,0.086846431565582,0.0249056424945592,1.0251449346542358,0.0249973870813846,0.9892271757125854,1.7245275585257551,0.04819474266605,36.92921480347935,1.9589106545628285,0.13681625478524945
8999,1687977300,1687977599,7.169799372923077,0.05271911303619909,-1,15131,14838,6.509032868251552e-09,0.0016518957370034,0.0388098759264159,0.0157156545067204,0.010131447932494,0.053867280688145,0.0077342698350548,1.0045228004455566,0.0191486664116382,0.942510187625885,1.517314452479407,6.509032868251552e-07,0.16518957370034,1.93642191527328,0.11312697619868937
8999,1687977600,1687977899,10.183088090615389,0.07487564772511315,-1,22828,22398,0.0026134960493969,0.0027647912261815,0.0275316191074132,0.0045627755758198,0.010000001933702,0.0015034602543598,0.0174266472458839,1.035777568817139,0.0117126181721687,0.9777026772499084,1.5873089268197866,0.26134960493969,0.27647912261815,1.883651655861223,0.0908377490508486
8999,1687977900,1687978199,1.6056603834166665,0.01180632634865196,-1,4841,4744,0.007996253913775,0.005998967665253,0.0242760988297463,0.0050997969095356,0.0100000000000717,0.0037775499213045,0.0255167819559574,1.06470787525177,0.0436572432518005,0.97063010931015,1.0764144845952903,0.7996253913775,0.5998967665253,2.003718240033051,0.20344676310258425
8999,1687978200,1687978499,5.44760906323077,0.04005594899434389,-1,12073,11840,4.015454635464266e-12,0.0594645312265976,0.0300705151152943,0.01808346228556,0.0100000001235784,0.0800381553404628,0.0260713044553995,1.0246840715408323,0.0116573879495263,0.9579455256462096,1.782574150903383,4.015454635464266e-10,5.946453122659761,1.929926281785803,0.1264336745007351
8999,1687978500,1687978799,10.070254084538464,0.07404598591572399,-1,22300,21872,0.0053543840240384,0.0028100363775265,0.0274833805553827,0.0027072924429236,0.0100000000011341,0.0006193986467833,0.0242415685206651,1.0451010465621948,0.0180100388824939,0.9518449306488036,2.434906146239314,0.53543840240384,0.28100363775265,1.9192825112107623,0.09277202181873184
8999,1687978800,1687979099,1.893213576076923,0.01392068805938914,-1,4737,4650,0.0115762567868313,0.0061890286659995,0.0256265624753589,0.003092511647712,0.0100000000059634,0.0009377248108818,0.0081374021247029,1.07630455493927,0.0369774885475635,0.990066647529602,0.9500031206581634,1.15762567868313,0.6189028665999501,1.8366054464851171,0.1969047720728059
8999,1687979100,1687979399,4.956317208153847,0.036443508883484174,-1,10260,10061,0.0132573295684556,0.0043059196235984,0.027873475562973,0.0023060908156737,0.0100000000065198,0.0011000462424763,0.0004682741709984,1.0547711849212646,0.0147316651418805,0.9894315600395204,1.268421768023344,1.32573295684556,0.43059196235984004,1.939571150097466,0.13749255340804956
8999,1687979400,1687979699,3.021942408384615,0.022220164767533936,-1,7761,7610,5.950670109444722e-08,0.000126930457515,0.0296997881477903,0.0229985166404079,0.0100000098392146,0.048933582116662,0.0122789135202765,1.0187095403671265,0.0046695130877196,0.975551426410675,1.7366498871042515,5.950670109444722e-06,0.012693045751500001,1.945625563716016,0.1583327628842225
8999,1687979700,1687979999,4.087861258769231,0.03005780337330317,-1,7884,7733,0.0143686547880356,0.004887911361682,0.0274786690770719,0.0021415211203705,0.0100000000021854,0.0005575312176736,0.0063037285581231,1.0403014421463013,0.0260562710464,0.9652662873268129,1.4511873394138153,1.43686547880356,0.4887911361682,1.915271435819381,0.15586257898838798
8999,1687980000,1687980299,9.954681810416668,0.0731961897824755,-1,22142,21710,0.004618535952138,0.0025970336986877,0.0229791362697218,0.0031587224101036,0.0100000000017783,0.0007533616582936,0.0045400122180581,1.0410912036895752,0.0319522395730018,0.9788035154342652,2.6284810157227607,0.46185359521380004,0.25970336986877,1.9510432661909494,0.09386961291132928
8999,1687980300,1687980599,7.878245956538462,0.05792827909219458,-1,17699,17356,0.0031864808356247,0.0025612621765435,0.0188706489001571,0.0064375462076553,0.0100000001277205,0.0557029776958114,0.0004416701267473,1.0431560277938845,0.0264062974601984,0.9843552708625792,1.3216735618715263,0.31864808356247,0.25612621765434995,1.937962596756879,0.1046401445135439
8999,1687980600,1687980899,0.3974321129230769,0.0029222949479638005,-1,869,851,0.0086992702801202,0.0086058329584139,0.0399978724010594,0.0264627543685725,0.0148778026332898,0.0063439314303263,0.0004829663666896,1.0496017932891846,0.032118871808052,0.991174817085266,0.8884794371122356,0.8699270280120199,0.8605832958413899,2.0713463751438437,0.488221022683462
8999,1687980900,1687981199,6.69015786,0.049192337205882355,-1,14805,14523,0.0037036201512753,0.0033873474871235,0.0289021191305825,0.0052596100500564,0.0100000110125029,0.0026671473680935,0.0042793634347617,1.0299580097198486,0.0138455331325531,0.978933572769165,1.8490049767959555,0.37036201512753,0.33873474871235,1.9047619047619047,0.11342692079531688
