fill,t1,t2,mean_lumi,mean_sbil,channel,BSZ_x,BSZ_x_std,BSZ_y,BSZ_y_std
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,0,-0.0754754394292831,1.16879403591156,-0.0002189702354371,0.9258674383163452
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,1,-0.0355003625154495,0.9426483511924744,0.0981832072138786,1.1817764043807983
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,2,0.0437282957136631,0.9291760325431824,0.0082328980788588,1.1802794933319092
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,3,-0.1254522949457168,1.2117524147033691,-0.090295523405075,0.9738728404045104
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,4,0.0074474709108471,1.2860463857650757,0.0758106037974357,1.0100284814834597
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,5,0.0054991720244288,1.0539571046829224,-0.003744117449969,1.3417145013809204
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,7,-0.0172651540488004,1.4652612209320068,0.0041729626245796,1.0717341899871826
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,8,-0.0942071825265884,1.2051764726638794,-0.1742973923683166,0.9517767429351808
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,9,0.1349962055683136,0.9377711415290833,-0.0270193237811326,1.22173011302948
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,10,0.1233156025409698,0.933604896068573,0.011238258332014,1.1946192979812622
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,11,-0.0689057037234306,1.174888014793396,0.1309219598770141,0.9297046661376952
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,12,0.1075870916247367,1.2074425220489502,0.0876009166240692,0.9490123987197876
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,13,-0.1037940010428428,0.9517388939857484,0.0976272672414779,1.1993328332901
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,14,-0.1363977193832397,0.9656361937522888,-0.087074302136898,1.257524490356445
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,15,0.0535522997379303,1.2588238716125488,-0.1710108369588852,0.908736526966095
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,0,-0.0646659880876541,1.165106177330017,-0.0085212048143148,0.9251783490180968
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,1,-0.0189502350986003,0.9482857584953308,0.1017389521002769,1.1902042627334597
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,2,0.0464536622166633,0.9114713072776794,0.0033927992917597,1.2009963989257812
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,3,-0.1395695656538009,1.2098519802093506,-0.0974497646093368,0.9552763104438782
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,4,-0.0022815656848251,1.3335576057434082,0.0540031604468822,1.0198075771331787
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,5,-0.0247177518904209,1.0608807802200315,0.0049952124245464,1.357069730758667
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,7,0.0059087569825351,1.5010740756988523,0.0089051015675067,1.0604239702224731
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,8,-0.0648970901966095,1.1999287605285645,-0.146998181939125,0.9242002964019777
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,9,0.1025260612368583,0.9196730852127076,-0.052415445446968,1.2173467874526978
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,10,0.1200921833515167,0.927101194858551,0.0078018344938755,1.168500542640686
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,11,-0.0701507255434989,1.184645175933838,0.1247182041406631,0.9387574791908264
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,12,0.1032271757721901,1.2096335887908936,0.0938775986433029,0.9319241046905518
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,13,-0.1010285839438438,0.9551876187324524,0.0848778635263443,1.2082221508026123
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,14,-0.1386589556932449,0.9351084232330322,-0.0913139581680297,1.246699571609497
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,15,0.0630462989211082,1.261533260345459,-0.1609186828136444,0.9365817904472352
9057,1689062100,1689062399,13765.057840894306,5.613808254850858,0,-0.0798574909567833,1.1824862957000732,-0.0051625096239149,0.9551402926445008
9057,1689062100,1689062399,13765.057840894306,5.613808254850858,1,-0.0190088413655757,0.9392728805541992,0.0969901010394096,1.1942509412765503
9057,1689062100,1689062399,13765.057840894306,5.613808254850858,2,0.0477168150246143,0.905925154685974,-0.009973126463592,1.2139499187469482
9057,1689062100,1689062399,13765.057840894306,5.613808254850858,3,-0.1165560632944107,1.2173264026641846,-0.1008394062519073,0.9482033252716064
9057,1689062100,1689062399,13765.057840894306,5.613808254850858,4,-0.0084468824788928,1.3370462656021118,0.0594814196228981,1.0066490173339844
9057,1689062100,1689062399,13765.057840894306,5.613808254850858,5,-0.0335460491478443,1.0543444156646729,-0.0147020611912012,1.3568737506866455
9057,1689062100,1689062399,13765.057840894306,5.613808254850858,7,-0.0146508356556296,1.474065899848938,0.0036330048460513,1.087389349937439
9057,1689062100,1689062399,13765.057840894306,5.613808254850858,8,-0.0826807767152786,1.2317001819610596,-0.1617246121168136,0.942738950252533
9057,1689062100,1689062399,13765.057840894306,5.613808254850858,9,0.1208174973726272,0.9420663118362428,-0.0317978784441947,1.230701208114624
9057,1689062100,1689062399,13765.057840894306,5.613808254850858,10,0.112379178404808,0.952864110469818,0.0025144787505269,1.2125422954559326
