fill,t1,t2,mean_lumi,mean_sbil,channel,ntracks_time,BSZ_x,BSZ_x_std,BSZ_y,BSZ_y_std
9070,1689434700,1689434999,8628.31125490877,3.5188871349546367,0,30522,-0.0555621907114982,1.1600278615951538,-0.0128545742481946,0.9344382286071776
9070,1689434700,1689434999,8628.31125490877,3.5188871349546367,1,29055,-0.0340304300189018,0.9183551669120787,0.0948583036661148,1.1545273065567017
9070,1689434700,1689434999,8628.31125490877,3.5188871349546367,2,27329,0.0381094105541706,0.9025959372520448,-0.0078932484611868,1.1799185276031494
9070,1689434700,1689434999,8628.31125490877,3.5188871349546367,3,26872,-0.1372899860143661,1.2232511043548584,-0.0920171812176704,0.9309549927711488
9070,1689434700,1689434999,8628.31125490877,3.5188871349546367,4,21476,0.0045644524507224,1.294907808303833,0.0765739008784294,0.9868635535240172
9070,1689434700,1689434999,8628.31125490877,3.5188871349546367,5,16616,-0.0130371358245611,1.0138341188430786,0.0037804339081048,1.3200048208236694
9070,1689434700,1689434999,8628.31125490877,3.5188871349546367,7,14966,-0.0716340169310569,1.358129620552063,-0.0511724799871444,1.0384445190429688
9070,1689434700,1689434999,8628.31125490877,3.5188871349546367,8,30626,-0.0769173577427864,1.1832456588745115,-0.1685743480920791,0.9406190514564514
9070,1689434700,1689434999,8628.31125490877,3.5188871349546367,9,22319,0.1029923185706138,0.9212313294410706,-0.0573120303452014,1.1835228204727173
9070,1689434700,1689434999,8628.31125490877,3.5188871349546367,10,30086,0.099806435406208,0.9349821209907532,-0.0388779565691947,1.194562315940857
9070,1689434700,1689434999,8628.31125490877,3.5188871349546367,11,32112,-0.0534141287207603,1.1802421808242798,0.1212242320179939,0.941047191619873
9070,1689434700,1689434999,8628.31125490877,3.5188871349546367,12,29103,0.2675756514072418,1.2299504280090332,0.0500212274491786,0.9939770698547364
9070,1689434700,1689434999,8628.31125490877,3.5188871349546367,13,29829,-0.1121105179190635,0.9756439328193665,0.0816110521554946,1.2035902738571167
9070,1689434700,1689434999,8628.31125490877,3.5188871349546367,14,27877,-0.1518167555332183,0.9268945455551147,-0.1084471121430397,1.2404407262802124
9070,1689434700,1689434999,8628.31125490877,3.5188871349546367,15,27850,0.0458919517695903,1.2344540357589722,-0.1654188632965088,0.916784167289734
9070,1689435000,1689435299,12672.931272424308,5.168405902293763,0,40992,-0.0695389807224273,1.173147439956665,-0.0102013610303401,0.9540594816207886
9070,1689435000,1689435299,12672.931272424308,5.168405902293763,1,39100,-0.0233799945563077,0.9504409432411194,0.1066461056470871,1.2040835618972778
9070,1689435000,1689435299,12672.931272424308,5.168405902293763,2,37547,0.0417395085096359,0.914576292037964,-0.006311600562185,1.1931986808776855
9070,1689435000,1689435299,12672.931272424308,5.168405902293763,3,36445,-0.1412238329648971,1.218970537185669,-0.0937078446149826,0.9508036375045776
9070,1689435000,1689435299,12672.931272424308,5.168405902293763,4,29700,-0.0007737326086498,1.3192588090896606,0.0712093412876129,1.0206990242004397
9070,1689435000,1689435299,12672.931272424308,5.168405902293763,5,22185,-0.0255316589027643,1.059710144996643,0.0028676998335868,1.3472065925598145
9070,1689435000,1689435299,12672.931272424308,5.168405902293763,7,20743,-0.0603250376880168,1.3886123895645142,-0.0344038717448711,1.0608880519866943
9070,1689435000,1689435299,12672.931272424308,5.168405902293763,8,41890,-0.0766614377498626,1.208263278007507,-0.169928640127182,0.9523928165435792
9070,1689435000,1689435299,12672.931272424308,5.168405902293763,9,29986,0.1170194968581199,0.9267463088035583,-0.0412107482552528,1.201099514961243
9070,1689435000,1689435299,12672.931272424308,5.168405902293763,10,41224,0.1065133959054946,0.9597926735877992,-0.0413871780037879,1.2280312776565552
9070,1689435000,1689435299,12672.931272424308,5.168405902293763,11,43574,-0.0623935125768184,1.2002824544906616,0.115005038678646,0.94796884059906
9070,1689435000,1689435299,12672.931272424308,5.168405902293763,12,39419,0.242658331990242,1.2482914924621582,0.0472096130251884,1.0046937465667725
9070,1689435000,1689435299,12672.931272424308,5.168405902293763,13,41203,-0.1051624938845634,0.9482628107070924,0.0948934108018875,1.217216730117798
9070,1689435000,1689435299,12672.931272424308,5.168405902293763,14,38176,-0.1448337733745575,0.9588095545768738,-0.097177967429161,1.2608815431594849
9070,1689435000,1689435299,12672.931272424308,5.168405902293763,15,38239,0.0445557162165641,1.2633439302444458,-0.1691229045391082,0.9093223810195924
9070,1689435300,1689435599,12912.339814430385,5.266043969996079,0,41054,-0.0582361854612827,1.1751606464385986,-0.0046235346235334,0.9354799389839172
9070,1689435300,1689435599,12912.339814430385,5.266043969996079,1,38901,-0.0231782980263233,0.9431350231170654,0.0960972160100936,1.1765367984771729
9070,1689435300,1689435599,12912.339814430385,5.266043969996079,2,37672,0.0504535846412181,0.9363497495651244,-0.0030989218503236,1.2156128883361816
9070,1689435300,1689435599,12912.339814430385,5.266043969996079,3,37120,-0.1294545531272888,1.2199310064315796,-0.1015577241778373,0.9483026266098022
9070,1689435300,1689435599,12912.339814430385,5.266043969996079,4,29516,-0.0023427922278642,1.3120827674865725,0.0532208904623985,1.0112731456756592
9070,1689435300,1689435599,12912.339814430385,5.266043969996079,5,22467,-0.0206035673618316,1.0877403020858765,0.0030337800271809,1.360606670379639
9070,1689435300,1689435599,12912.339814430385,5.266043969996079,7,20962,-0.0643773451447486,1.388175129890442,-0.0362320244312286,1.0551484823226929
9070,1689435300,1689435599,12912.339814430385,5.266043969996079,8,42065,-0.0711764469742775,1.193254828453064,-0.1579960584640503,0.9373358488082886
