fill,t1,t2,mean_lumi,mean_sbil,channel,ntracks_time,ntracks_resi,bkg_frac,bkg_frac_e,bkg_m0,bkg_m0_e,bkg_s0,bkg_s0_e,BSZ_x,BSZ_x_std,BSZ_y,BSZ_y_std,chi2,fSlopeY(%),fSlopeY_e(%),fR(%),fR_e(%)
9057,1689061500,1689061799,12290.522308251151,5.012447923430322,-1,201414,195662,0.0217669074126745,0.0008945560979635,0.027016892541217,0.0004859691298044,0.0168831968840893,0.000386015243115,0.0166390780359506,1.1222048997879028,0.0001523605606053,1.060232162475586,12.222518985154156,2.17669074126745,0.08945560979634999,2.855809427348645,0.03765475135960467
9057,1689061800,1689062099,12482.639080442234,5.090798972447893,-1,202211,196353,0.0212648043686338,0.0008942025796799,0.026179464001177,0.0004921773374059,0.0168241662126784,0.0003878626543984,0.0159936919808387,1.119584321975708,0.0004038835468236,1.0548769235610962,10.313786873281446,2.12648043686338,0.08942025796799,2.896973952950136,0.03785035061030795
9057,1689062100,1689062399,13765.057840894306,5.613808254850858,-1,209651,203314,0.0262023120596597,0.000886412079115,0.0262935032373074,0.0004050168290465,0.0170274558327434,0.0003113263104912,0.0146730141714215,1.1446343660354614,-0.0036721820943057,1.0729539394378662,11.550989624284844,2.62023120596597,0.0886412079115,3.0226423914028553,0.03797037753554502
9057,1689062400,1689062699,15197.50760703654,6.198004733701688,-1,214763,208071,0.0286410987474093,0.000891002853256,0.0261391000531728,0.0003717928893773,0.01700880658744,0.0002891058701281,0.0080687487497925,1.1424771547317505,-0.0035276440903544,1.09587562084198,11.786883281907995,2.86410987474093,0.0891002853256,3.115992978306319,0.038090660562978836
9057,1689062700,1689062999,16263.80184433,6.632871877785481,-1,217834,210963,0.0324859093933906,0.0009000425159241,0.0266764590735879,0.0003285512943253,0.0170255818732838,0.000254560019879,0.013624626211822,1.162454605102539,-0.0041219214908778,1.0914844274520874,13.00667047886298,3.24859093933906,0.09000425159241,3.1542367123589523,0.03805259754758306
9057,1689063000,1689063299,16711.13346352385,6.815307285287051,-1,219043,212070,0.0339794412791011,0.0009043236330753,0.0267523631676714,0.0003161964176027,0.016850403969518,0.0002476673376422,0.012707213871181,1.163651704788208,-0.0069816443137824,1.105966567993164,12.998222198299532,3.3979441279101104,0.09043236330753,3.1833932150308386,0.03812241929538797
9057,1689063300,1689063599,16788.217469994383,6.8467444820531735,-1,218376,211421,0.0333276241802257,0.0009005354293424,0.0262310745111854,0.0003231431055321,0.0170868246821275,0.0002508194343276,0.0136097194626927,1.1655495166778564,-0.0059447851963341,1.1066536903381348,13.604039618481572,3.33276241802257,0.09005354293424,3.1848737956552,0.03818947256945512
9057,1689063600,1689063899,18184.453736201845,7.416171996819676,-1,220641,213432,0.0364909044212683,0.0009144598696623,0.0264997972258421,0.0002972787225344,0.016759219061194,0.0002369770213179,0.01378093380481,1.1762109994888306,-0.0103181498125195,1.1145780086517334,14.475593330034627,3.6490904421268304,0.09144598696623,3.26729846220784,0.03848143825875945
9057,1689063900,1689064199,19134.117084953617,7.803473525674395,-1,222016,214756,0.0402722769268625,0.0009187406256064,0.0264166162447847,0.00027632303406,0.0170306497130662,0.000216555218868,0.0112540302798151,1.191907525062561,-0.0078833429142832,1.1282472610473633,16.422366757319192,4.02722769268625,0.09187406256064,3.27003459210147,0.03837815005070048
9057,1689064200,1689064499,19207.174063810075,7.833268378389101,-1,220717,213646,0.0420668959464811,0.0009356159954853,0.0263479904978648,0.0002660509952679,0.0168115622442711,0.0002110743980696,0.0101359812542796,1.1942540407180786,-0.0114455902948975,1.13025164604187,18.95057575085492,4.20668959464811,0.09356159954853,3.203649922751759,0.03809821550340038
9057,1689064500,1689064799,19508.944215209616,7.956339402614036,-1,220927,213625,0.042788481472393,0.0009219698843768,0.0264647899159853,0.0002644253079304,0.0173927485131369,0.0002027374110023,0.0111767342314124,1.1949118375778198,-0.0127621693536639,1.1464884281158447,16.390537355438838,4.2788481472393,0.09219698843768,3.305164149243868,0.03867872227765417
9057,1689064800,1689065099,20412.224553483848,8.324724532415924,-1,220336,213096,0.0455311489881513,0.0009470595770531,0.0266910460844817,0.0002497786621682,0.0167710425677526,0.0001989419044342,0.0122208651155233,1.1989457607269287,-0.0108632529154419,1.1427892446517944,19.149955387730245,4.55311489881513,0.09470595770531,3.2858906397501997,0.038617470383746
9057,1689065100,1689065399,20457.31324987149,8.34311307091007,-1,220664,213403,0.0462654648800619,0.000947166119069,0.0268233270443455,0.0002474645612897,0.0170029580578887,0.0001985508116395,0.007374751381576,1.2076568603515625,-0.0146915763616561,1.1461697816848757,21.649973093765077,4.6265464880061895,0.0947166119069,3.290523148315992,0.038615950753675604
9057,1689065400,1689065699,20542.632006711305,8.377908648740336,-1,220133,212839,0.0478293021269872,0.000959482477046,0.026579251367759,0.0002389022491229,0.0165270172033231,0.000192228867776,0.0129935620352625,1.207176923751831,-0.0156958680599927,1.1473747491836548,18.91526828942295,4.78293021269872,0.0959482477046,3.313451413463679,0.03879696269581784
9057,1689065700,1689065999,20993.60966873123,8.561831023136717,-1,220702,213310,0.0480067590266641,0.0009520091968382,0.0267621001310716,0.0002392347205375,0.0170625068652068,0.000187657569953,0.009057673625648,1.2140843868255615,-0.0165600702166557,1.1565260887145996,24.04095033384321,4.80067590266641,0.09520091968382,3.3493126478237625,0.03895603168109881
