fill,t1,t2,mean_lumi,mean_sbil,channel,ntracks_time,ntracks_resi,bkg_frac,bkg_frac_e,bkg_m0,bkg_m0_e,bkg_s0,bkg_s0_e,BSX_y,BSX_y_std,BSX_z,BSX_z_std,BSY_x,BSY_x_std,BSY_z,BSY_z_std,BSZ_x,BSZ_x_std,BSZ_y,BSZ_y_std,chi2,fSlopeY(%),fSlopeY_e(%),fR(%),fR_e(%)
8741,1683739800,1683740099,6913.062805987385,3.657705188353114,-1,134441,0,0.0116150592583317,0.0010738520333783,0.0230798379840674,0.0012641562845272,0.0153695831311562,0.0012512336644057,-0.7200903,167.69145,16.961018,6326.587,0.48907402,65.47168,-29.718164,2133.4956,0.007433117,1.0891876,0.02178248,1.0253828,11.98429500440121,1.1615059258331701,0.10738520333783,100.0,0.2727307664082277
8741,1683740100,1683740399,6847.106425013001,3.622807632282011,-1,133098,0,0.0101443501604665,0.0009501636945312,0.0244960664742056,0.0013197984699382,0.01816549557735,0.0008633835652165,-0.9781617,315.13147,7.994106,13163.3,-0.15474992,97.9424,-36.37649,3695.6785,0.0044147177,1.0839921,0.016513327,1.0302182,11.945368659210482,1.01443501604665,0.09501636945312,100.0,0.2741032817296831
8741,1683740400,1683740699,6995.478120440307,3.701311174836141,-1,135536,0,0.0118625848047966,0.0010016285422433,0.0233718307732349,0.0011337800393971,0.0166767009741954,0.0007598469580677,5.258668,2100.0942,220.78087,78964.305,0.2812664,257.9443,-23.392574,10308.922,0.002656257,1.0857434,0.01973246,1.0275506,10.158351458119474,1.18625848047966,0.10016285422433001,100.0,0.271626831589296
8741,1683740700,1683740999,7482.938146548923,3.959226532565568,-1,140744,0,0.0098900091898337,0.0009547918948904,0.0236733085562547,0.0014945025081031,0.0170629277404356,0.0010550612735896,-0.6834296,251.49713,-18.06439,9722.824,0.40971524,145.22618,-17.875628,4500.408,0.0018454919,1.0922583,0.01852169,1.0252599,9.80082408006589,0.9890009189833701,0.09547918948904001,100.0,0.2665539085957816
8741,1683741000,1683741299,8035.982840237666,4.251842772612521,-1,145357,0,0.0134800409261609,0.0009789491564861,0.0235090044583767,0.0009652148590607,0.0167476385311931,0.0006748400077921,-0.64429057,99.39217,10.232885,3718.3977,0.07833094,197.2163,-24.359522,7102.3877,0.0006740842,1.0974935,0.018176734,1.0332887,10.581309643812434,1.34800409261609,0.09789491564861,100.0,0.2622901759673421
8741,1683741300,1683741599,8295.912657266692,4.389371776331583,-1,146987,0,0.0145842309431365,0.001005583423586,0.025376818574554,0.000886046936135,0.0159061335382072,0.0007131516902197,-1.147489,130.74062,-28.258484,9237.995,0.08590687,105.35567,-7.0369563,4452.641,0.004145885,1.0974057,0.017497556,1.0265268,11.260476820411895,1.45842309431365,0.1005583423586,100.0,0.2608317991125238
8741,1683741600,1683741899,8636.264364004692,4.569452044446927,-1,150190,0,0.0139527202150518,0.0009709769881916,0.0236573452799231,0.0008874526896194,0.0168981773729702,0.000628012746258,-0.104670994,132.45872,14.837107,5096.054,1.1246408,685.0753,-1.9677281,25617.889,0.0036587436,1.0958289,0.019860264,1.0379016,11.491183827682626,1.39527202150518,0.09709769881916,100.0,0.25803551896952126
8741,1683741900,1683742199,9176.940862141231,4.855524265683191,-1,154667,0,0.0164636158450562,0.0009466193693404,0.0253463348901002,0.0007383577326866,0.017527228830961,0.0005168434860009,0.26177907,342.4599,19.888922,15043.183,-0.30806288,98.29282,-31.416471,4143.055,-0.00083187653,1.1118635,0.02466618,1.0490965,12.57645177548376,1.6463615845056199,0.09466193693404,100.0,0.2542735398562922
8741,1683742200,1683742499,9698.383920011462,5.131420063498128,-1,157583,0,0.0196091714618441,0.0009431503405439,0.025088118083407,0.0006431194610975,0.0176347047371329,0.0004509216496076,-0.7022311,195.3378,13.920426,7086.5234,-0.26488763,65.18615,-26.729115,2116.065,0.0028899573,1.1219839,0.015994657,1.0698829,12.714097228220622,1.96091714618441,0.09431503405439,100.0,0.2519099478100292
8741,1683742500,1683742799,10333.47372973323,5.4674464178482705,-1,160704,0,0.0190274966233149,0.0009442237823079,0.0242272939077781,0.000646427663473,0.0174048026602939,0.0004455494699901,-0.6438262,111.86459,14.769187,4139.5005,0.28540456,205.63792,-42.22554,8904.311,0.0043182084,1.1186842,0.021964435,1.0627173,12.348364562276137,1.9027496623314901,0.09442237823079,100.0,0.2494518083705207
8741,1683742800,1683743099,10732.780118602,5.678719639471958,-1,163647,0,0.0188679061306516,0.0009220598058361,0.025053048054375,0.0006308614369227,0.0178834058325702,0.0004334859785105,-1.056079,146.79915,-1.8593906,5256.5195,0.18778326,68.93898,-31.098196,2204.4849,0.004914047,1.1195838,0.018800324,1.058349,12.301592237627506,1.8867906130651602,0.09220598058361,100.0,0.2471985824131412
8741,1683743100,1683743399,11235.196098271152,5.944548200143466,-1,166115,0,0.0229938694343799,0.0009450158780171,0.0254220400195608,0.0005233819310148,0.017657563446056,0.000372597848315,-0.36127365,153.38693,14.61924,5383.986,-0.0091528855,153.53693,-40.60207,5442.6826,0.0036749495,1.1327983,0.023972824,1.0819408,12.769323365365436,2.29938694343799,0.09450158780171,100.0,0.2453553739967958
8741,1683743400,1683743699,11808.466340202498,6.24786578846693,-1,168041,0,0.0241513922357577,0.0009296572673781,0.0255514937232687,0.0005019423805653,0.0180482268963311,0.0003539961342746,0.10556014,183.73965,34.367607,6814.0674,-0.39979407,121.0199,-20.790768,4081.501,0.0036582313,1.1403661,0.021301892,1.0834887,13.161103282178596,2.41513922357577,0.09296572673780999,100.0,0.24394525292398392
