fill,channel,h,t1,t2,ntracks_time,ntracks_resi,bkg_frac,bkg_frac_e,bkg_m0,bkg_m0_e,bkg_s0,bkg_s0_e,BSX_y,BSX_y_std,BSX_z,BSX_z_std,BSY_x,BSY_x_std,BSY_z,BSY_z_std,BSZ_x,BSZ_x_std,BSZ_y,BSZ_y_std,chi2
8236,0,10,1665152241,1665152241,1,0,0.4999999906681991,0.3605313777222589,0.013189033918953645,0.01591173337944275,0.01000005483832628,0.005045273790526054,-54.734894,,-1781.0618,,4.2693224,,110.94729,,4.0189695,,-3.2096503,,-0.33601160148834097
8236,1,10,1665152243,1665152699,12790,0,3.911262980160757e-11,0.00076559105969988,0.026919942817911026,0.021700566726970256,0.010000000027687582,0.055343901857438704,-0.14933933,9.359216,-10.154077,307.3985,-1.2300313,71.35339,-44.38278,2215.291,0.10347644,0.82555634,0.090243615,1.1102523,23.603715739972863
8236,2,10,1665152699,1665153000,38864,0,0.007001736564460764,0.0016440332951841025,0.012016049571199932,0.0032659278416751194,0.014446094456746685,0.0014525658997160693,1.1404107,183.78487,36.09713,7159.398,-1.5246872,127.33067,-63.131805,4965.3145,0.1151108,0.8940642,0.11068028,1.1635233,64.35030234763835
8236,3,10,1665153000,1665153299,45867,0,0.0071329390382034175,0.0011313369154222624,0.010000000000731944,0.0037380751440563333,0.016152536881784522,0.001647275368513927,0.084412314,34.1383,0.29736078,1322.7424,-9.3436985,2044.2013,-271.42438,56142.17,0.11393802,0.91704816,0.111797936,1.1743879,78.67474122290656
8236,4,10,1665153299,1665153600,42490,0,0.01071711305297876,0.0022051465120441344,0.016092587067956347,0.0038922197747822476,0.01624787227056584,0.0019693034826275026,0.7461983,147.20758,-17.15149,6280.511,-7.5302887,1046.8173,-278.72995,39397.77,0.1252997,0.9130278,0.109050535,1.1787792,65.89287175867145
8236,5,10,1665153600,1665153899,28308,0,0.004961861829275438,0.0011115487833114196,0.010000102334446233,0.0029683897263193555,0.015555072231852192,0.001804393910071032,-0.40151238,188.39024,-7.9646754,5226.641,-8.016192,999.01654,-308.6868,38352.996,0.12626223,0.8983977,0.091874495,1.1612145,45.03241477155279
8236,6,10,1665153899,1665154200,39027,0,0.0064348868970943995,0.0013464227166679887,0.010000000015003393,0.005676154602041473,0.014305889069956123,0.0014867249451424123,0.054383848,16.179792,-4.6422987,632.0439,-1.7241577,169.48354,-111.518105,13066.207,0.12359981,0.88449913,0.11030349,1.1423588,63.62337987548301
8236,7,10,1665154200,1665154499,45855,0,0.007419447627945941,0.008517885049884558,0.010000001468396354,0.01975283993920346,0.013833019441315883,0.008889376157439045,-5.3811016,764.5269,-165.14624,24216.883,-1.9674759,194.65175,-78.064606,7377.1465,0.11971732,0.92480385,0.10092008,1.1893148,72.67721511070589
8236,8,10,1665154499,1665154800,47418,0,0.009661040844613722,0.0008925861600551782,0.01000000000358728,0.01844941668293041,0.014088502891381156,0.0007789428827618631,-0.11509008,19.177696,-6.813949,661.8183,-38.14368,7975.573,-1195.2484,249657.02,0.13010265,0.93760836,0.10597589,1.1832008,75.44481388303885
8236,9,10,1665154800,1665155099,47257,0,0.019890087474296964,0.0016442116785136685,0.023313282380841977,0.001187803485535141,0.019513768401982698,0.0007550545075298409,-0.80462515,142.56068,7.6396327,4740.7607,-1.9885563,142.56163,-88.07537,5585.8916,0.13228908,0.96938634,0.10797034,1.1921363,76.87179457238729
