fill,t1,t2,mean_lumi,mean_sbil,channel,ntracks_time,ntracks_resi,bkg_frac,bkg_frac_e,bkg_m0,bkg_m0_e,bkg_s0,bkg_s0_e,BSZ_x,BSZ_x_std,BSZ_y,BSZ_y_std,chi2,fSlopeY(%),fSlopeY_e(%),fR(%),fR_e(%)
8778,1684234200,1684234499,10.711773243333331,1.1901970270370368,-1,256,252,0.0236439329288254,0.0178423730114014,0.0399997305401006,0.0184612941815118,0.0156202197436571,0.0051834866514489,-0.0637663230299949,1.2089158296585083,-0.0228036567568779,1.026655912399292,0.4388648851808528,2.36439329288254,1.7842373011401398,1.5625,0.78125
8778,1684234500,1684234799,14.401267990076924,1.600140887786325,-1,330,324,3.61829303741068e-08,0.461736229681327,0.0367058083826585,0.0225929418286334,0.0212816752718487,0.0492157672748839,-0.0238510742783546,0.9896866083145142,0.0660813450813293,0.8784927129745483,0.7845951793413508,3.6182930374106803e-06,46.1736229681327,1.8181818181818181,0.7422696190252054
8778,1684234800,1684235099,14.348461571846151,1.5942735079829058,-1,368,359,8.520961713998076e-15,0.0256878622954904,0.0281736732832635,0.0230482202591525,0.0147244840634656,0.0463973008951558,-0.0426732078194618,1.11701500415802,0.0107655264437198,0.9383201003074646,0.8531511669754926,8.520961713998076e-13,2.56878622954904,2.4456521739130435,0.8152173913043478
8778,1684235100,1684235399,14.110151303307692,1.5677945892564102,-1,342,334,0.0108131313960198,0.0161045173592238,0.0191006236687618,0.0082183294076584,0.0100000000840658,0.0043780436096929,0.0575967915356159,0.9459470510482788,-0.0332242473959922,1.105342984199524,0.6971175653321265,1.08131313960198,1.6104517359223798,2.3391812865497075,0.8270254750719854
8778,1684235400,1684235699,14.305475026076929,1.5894972251196586,-1,371,365,0.0275843446942282,0.0804286294020532,0.02903176193986,0.0173197046950097,0.0100000018827731,0.0798274453296069,0.0005175469559617,1.118006706237793,0.0129729844629764,1.0312583446502686,1.2857560284870049,2.75843446942282,8.04286294020532,1.6172506738544474,0.6602398228526086
8778,1684235700,1684235999,14.19121354153846,1.5768015046153845,-1,348,338,0.0100771960827096,0.0137295297027639,0.0303378065832633,0.0249971111804879,0.0240014366686271,0.0111550217737373,-0.0517341010272502,1.204140543937683,0.0489130727946758,1.0224038362503052,0.8599705715559524,1.00771960827096,1.37295297027639,2.8735632183908044,0.9087004770598792
8778,1684236000,1684236299,14.157166304153847,1.5730184782393164,-1,345,338,8.331761114366286e-10,0.0927426393546522,0.0295895465608837,0.0180766602537684,0.0100000000194986,0.0458181545635629,-0.1094962060451507,1.030228853225708,0.0380606539547443,0.888537585735321,0.7150311664790246,8.331761114366286e-08,9.27426393546522,2.028985507246377,0.7668844379897365
8778,1684236300,1684236599,14.174700779076923,1.5749667532307692,-1,341,332,3.3041601399386167e-09,0.4124940613954205,0.0344661698345877,0.0268817588803686,0.010000010196491,0.0628342357164849,0.0065554175525903,1.040000081062317,0.0476110465824604,0.9360142946243286,0.7792319825116885,3.3041601399386167e-07,41.24940613954205,2.6392961876832843,0.8797653958944281
8778,1684236600,1684236899,11.412208247666667,1.2680231386296297,-1,268,264,0.0037545500181334,0.0141699526485194,0.0399999934509789,0.0291840576456909,0.0142061436311422,0.0128678393020877,-0.0119727421551942,1.1113415956497192,0.0333079919219017,0.9945459961891174,0.7152411823629737,0.37545500181334,1.41699526485194,1.492537313432836,0.746268656716418
8778,1684236900,1684237199,5.575199880692308,0.6194666534102564,-1,152,150,0.0154364205794266,0.023993464895278,0.0353979485507101,0.0080441682180656,0.0100000070527213,0.0042478008749683,0.0348375141620636,0.9063202142715454,0.0665995329618454,0.9520152807235718,0.5532189313477385,1.54364205794266,2.3993464895278,1.3157894736842106,0.9304036594559836
8778,1684237200,1684237499,6.740953320153848,0.7489948133504275,-1,191,188,0.015344734284693,0.0178462653299319,0.039999998032711,0.0049140034890891,0.0119252808173629,0.0055794402206434,0.080612912774086,0.9469171166419984,-0.1220267862081527,1.1341660022735596,0.8546740667779821,1.5344734284693,1.78462653299319,1.5706806282722514,0.9068328835439148
8778,1684237500,1684237799,12.538165744923075,1.393129527213675,-1,285,276,0.0146960920028366,0.0163405562050637,0.0399999999944711,0.0291550856646683,0.0124158779589342,0.0062612464061971,-0.0576724670827388,0.9743784070014954,-0.06375103443861,0.9201626181602478,0.642637496237587,1.46960920028366,1.63405562050637,3.1578947368421053,1.0526315789473684
8778,1684237800,1684238099,14.037182068692308,1.5596868965213675,-1,364,355,0.0185658127199573,0.0233249651312016,0.0270431858405505,0.0067622046766679,0.0100000382852665,0.0041441548861382,-0.0738287046551704,1.016709566116333,0.0331921800971031,0.8914847373962402,0.6281087866542315,1.85658127199573,2.33249651312016,2.4725274725274726,0.8241758241758241
8778,1684238100,1684238399,13.964001551846156,1.5515557279829062,-1,341,334,0.008120925794309,0.012753584949415,0.0399998851902835,0.0238071645466966,0.0180822636845883,0.0118235174879904,-0.0651112720370292,1.0625191926956177,-0.0230095703154802,0.9927355051040648,1.0277285522440374,0.8120925794309,1.2753584949415,2.0527859237536656,0.775880149872314
8778,1684238400,1684238699,13.889918608615384,1.5433242898461537,-1,344,335,0.0205430486314597,0.014063043806198,0.0399999999442753,0.0194346597817595,0.0204023442331303,0.0075195129164099,0.0375756993889808,1.2803304195404053,0.0112510388717055,1.103446125984192,0.6738809045555574,2.05430486314597,1.4063043806198,2.616279069767442,0.872093023255814
