fill,channel,h,t1,t2,ntracks_time,ntracks_resi,bkg_frac,bkg_frac_e,bkg_m0,bkg_m0_e,bkg_s0,bkg_s0_e,BSX_y,BSX_y_std,BSX_z,BSX_z_std,BSY_x,BSY_x_std,BSY_z,BSY_z_std,BSZ_x,BSZ_x_std,BSZ_y,BSZ_y_std,chi2
8741,-1,0,1683739800,1683740099,134441,0,0.011615059258331784,0.0010738520333783697,0.023079837984067444,0.001264156284527293,0.01536958313115622,0.0012512336644057587,-0.7200903,167.69145,16.961018,6326.587,0.48907402,65.47168,-29.718164,2133.4956,0.007433117,1.0891876,0.02178248,1.0253828,11.98429500440121
8741,-1,1,1683740100,1683740399,133098,0,0.010144350160466553,0.0009501636945312697,0.02449606647420561,0.0013197984699382971,0.018165495577350005,0.0008633835652165842,-0.9781617,315.13147,7.994106,13163.3,-0.15474992,97.9424,-36.37649,3695.6785,0.0044147177,1.0839921,0.016513327,1.0302182,11.945368659210482
8741,-1,2,1683740400,1683740699,135536,0,0.011862584804796683,0.0010016285422433102,0.023371830773234917,0.001133780039397115,0.01667670097419549,0.0007598469580677603,5.258668,2100.0942,220.78087,78964.305,0.2812664,257.9443,-23.392574,10308.922,0.002656257,1.0857434,0.01973246,1.0275506,10.158351458119474
8741,-1,3,1683740700,1683740999,140744,0,0.009890009189833793,0.0009547918948904222,0.023673308556254744,0.0014945025081031238,0.017062927740435684,0.0010550612735896175,-0.6834296,251.49713,-18.06439,9722.824,0.40971524,145.22618,-17.875628,4500.408,0.0018454919,1.0922583,0.01852169,1.0252599,9.80082408006589
8741,-1,4,1683741000,1683741299,145357,0,0.013480040926160952,0.0009789491564861363,0.023509004458376767,0.0009652148590607399,0.016747638531193192,0.0006748400077921136,-0.64429057,99.39217,10.232885,3718.3977,0.07833094,197.2163,-24.359522,7102.3877,0.0006740842,1.0974935,0.018176734,1.0332887,10.581309643812434
8741,-1,5,1683741300,1683741599,146987,0,0.014584230943136572,0.0010055834235860317,0.025376818574554028,0.0008860469361350407,0.015906133538207246,0.0007131516902197247,-1.147489,130.74062,-28.258484,9237.995,0.08590687,105.35567,-7.0369563,4452.641,0.004145885,1.0974057,0.017497556,1.0265268,11.260476820411897
8741,-1,6,1683741600,1683741899,150190,0,0.013952720215051811,0.0009709769881916519,0.023657345279923123,0.0008874526896194106,0.016898177372970294,0.0006280127462580977,-0.104670994,132.45872,14.837107,5096.054,1.1246408,685.0753,-1.9677281,25617.889,0.0036587436,1.0958289,0.019860264,1.0379016,11.491183827682626
8741,-1,7,1683741900,1683742199,154667,0,0.016463615845056234,0.0009466193693404013,0.025346334890100228,0.000738357732686672,0.01752722883096108,0.0005168434860009768,0.26177907,342.4599,19.888922,15043.183,-0.30806288,98.29282,-31.416471,4143.055,-0.00083187653,1.1118635,0.02466618,1.0490965,12.57645177548376
8741,-1,8,1683742200,1683742499,157583,0,0.019609171461844127,0.0009431503405439579,0.025088118083407,0.0006431194610975275,0.017634704737132995,0.00045092164960760725,-0.7022311,195.3378,13.920426,7086.5234,-0.26488763,65.18615,-26.729115,2116.065,0.0028899573,1.1219839,0.015994657,1.0698829,12.714097228220622
8741,-1,9,1683742500,1683742799,160704,0,0.019027496623314905,0.0009442237823079763,0.024227293907778145,0.0006464276634730662,0.017404802660293987,0.00044554946999014397,-0.6438262,111.86459,14.769187,4139.5005,0.28540456,205.63792,-42.22554,8904.311,0.0043182084,1.1186842,0.021964435,1.0627173,12.348364562276137
