fill,channel,h,t1,t2,ntracks_time,ntracks_resi,bkg_frac,bkg_frac_e,bkg_m0,bkg_m0_e,bkg_s0,bkg_s0_e,BSX_y,BSX_y_std,BSX_z,BSX_z_std,BSY_x,BSY_x_std,BSY_z,BSY_z_std,BSZ_x,BSZ_x_std,BSZ_y,BSZ_y_std,chi2
8730,-1,0,1683437400,1683437699,94390,0,0.014251441809650739,0.0011911467682497456,0.02359959673124171,0.0011273246431527176,0.01755845689871032,0.0007566219276374624,0.48826396,469.53024,-59.527905,17132.814,-0.24503632,62.653843,-19.210321,2272.4658,0.013355426,1.1029003,0.018638656,1.038885,6.853481217264601
8730,-1,1,1683437700,1683437999,97770,0,0.017358973605648698,0.0011781124812481752,0.025657219290326085,0.0008858755708062317,0.018133089237454603,0.000620489845110794,-1.5956852,251.3613,5.285519,8141.153,0.81373936,224.27032,2.1445942,8033.4985,0.011738027,1.1200024,0.023217758,1.0586998,7.5930179458105505
8730,-1,2,1683438000,1683438299,99681,0,0.01954429632092236,0.0011945879226270134,0.024948553185393095,0.0007756945372269126,0.017987973972499065,0.0005408749732278631,-0.7772465,127.25832,20.268658,5029.88,0.48444307,106.57164,-23.513174,7019.8496,0.008306234,1.1263232,0.019628827,1.0640438,7.381029712801248
8730,-1,3,1683438300,1683438599,101695,0,0.019551050156107586,0.0011787019406622606,0.025336010279484004,0.0007658277662297933,0.01775546660719801,0.0005212507461535426,1.6451322,487.55237,94.73426,17369.43,-2.0519383,779.6118,63.304897,28989.998,0.005440213,1.1251479,0.021405848,1.0660172,7.291325334388265
8730,-1,4,1683438600,1683438899,103395,0,0.023105334866161675,0.0012150339821200562,0.02452278946329202,0.0007025103296841011,0.016790681815524698,0.0005246982684031648,-0.8077671,87.28506,25.232525,3089.4333,0.17852683,116.19061,-25.250732,4154.714,0.0040977024,1.1358681,0.023674836,1.0712516,7.939757762598223
8730,-1,5,1683438900,1683439199,104678,0,0.024017761189877668,0.0011805568836505548,0.024726425605825646,0.0006430549681426846,0.018097316838598804,0.0004492959756146903,0.16820067,134.46918,38.264088,5034.1177,0.56667024,302.39117,-31.866762,10609.402,0.009041316,1.1500857,0.016092885,1.0868051,7.496125256790681
8730,-1,6,1683439200,1683439499,105854,0,0.026398323274512553,0.0011914991965160382,0.026300341153507024,0.0005871275898821048,0.017866776464460856,0.0004222195801323828,-1.5182412,290.2655,-3.936227,7048.045,-2.146747,750.4105,328.66766,114051.98,0.00875051,1.1625556,0.018391995,1.0950376,9.908215315536127
8730,-1,7,1683439500,1683439799,106157,0,0.0318402458662749,0.0012192422063130176,0.025523898575331133,0.0004993136830157736,0.01791294180916719,0.0003593275597183407,3.4278524,1189.7849,-71.52493,45785.406,1.0724047,359.52002,-100.078064,15334.389,0.0060143997,1.1720798,0.020311432,1.1280773,8.810177740801025
8730,-1,8,1683439800,1683440099,107109,0,0.03100080401645472,0.001203473803315952,0.024587708387551387,0.0005167100880404951,0.017830229292447212,0.00035929366404039396,5.9350176,2384.7227,264.09363,89561.39,-0.41252598,117.25221,-11.163956,4162.0063,0.0051222313,1.1801053,0.021815594,1.1117051,8.3910725799183
8730,-1,9,1683440100,1683440399,106649,0,0.03579719281492891,0.0012334421386259453,0.02531076727974918,0.0004558973169703825,0.017994627106110467,0.00033019971970821294,0.07067955,370.1674,48.456726,13866.87,1.8303565,392.61777,-21.600233,15009.863,0.012445698,1.1931937,0.019223912,1.1372817,7.320403587923578
